Time (msec),Engine Speed (rpm),A/F Correction #1 (%),A/F Learning #1 (%),Battery Voltage (V),Coolant Temperature (F),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Mass Airflow (g/s),Throttle Opening Angle (%),Knock Correction Advance (degrees),Engine Load (Calculated) (g/rev),Injector Duty Cycle (%),Ignition Total Timing (degrees),Intake Air Temperature (F),A/F Sensor #1 (AFR),Manifold Relative Pressure (psi),Intake VVT Advance Angle Right (degrees),Atmospheric Pressure (psi),Manifold Absolute Pressure (psi),Idle Switch (On/Off),Rear O2 Sensor Rich Signal (On/Off),Air Conditioning Switch (On/Off)
5727,702,0.00,0.00,13.20,181,0.00,3.48,3.92,0.00,0.30,1.65,17.00,100,12.75,-7.40,0,14.36,6.96,1,0,0
5796,700,0.00,0.00,13.28,181,0.00,3.48,3.53,0.00,0.30,1.64,17.00,100,12.75,-7.40,0,14.36,6.96,1,0,0
5865,698,0.00,0.00,13.28,181,0.00,3.48,3.92,0.00,0.30,1.64,17.00,100,12.75,-7.40,0,14.36,6.96,1,0,0
5934,703,0.00,0.00,13.20,181,0.00,3.48,3.92,0.00,0.30,1.65,16.50,100,12.75,-7.40,0,14.36,6.96,1,0,0
6004,704,0.00,0.00,13.20,181,0.00,3.48,3.92,0.00,0.30,1.66,16.50,100,12.75,-7.25,0,14.36,6.96,1,0,0
6072,692,0.00,0.00,13.20,181,0.00,3.48,3.92,0.00,0.30,1.63,17.00,100,12.75,-7.40,0,14.36,6.96,1,0,0
6141,692,0.00,0.00,13.12,181,0.00,3.48,3.92,0.00,0.30,1.62,17.00,100,12.75,-7.25,0,14.36,6.96,1,0,0
6210,689,0.00,0.00,13.28,181,0.00,3.48,3.92,0.00,0.30,1.62,17.00,100,12.75,-7.25,0,14.36,6.96,1,0,0
6279,688,0.00,0.00,13.12,181,0.00,3.48,3.92,0.00,0.30,1.62,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
6348,691,0.00,0.00,13.20,181,0.00,3.48,3.92,0.00,0.30,1.64,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
6417,693,0.00,0.00,13.28,181,0.00,3.48,3.92,0.00,0.30,1.63,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
6486,692,0.00,0.00,13.20,181,0.00,3.50,3.92,0.00,0.30,1.62,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
6556,691,0.00,0.00,13.28,181,0.00,3.50,3.92,0.00,0.30,1.62,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
6624,698,0.00,0.00,13.20,181,0.00,3.50,3.92,0.00,0.30,1.64,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
6695,698,0.00,0.00,13.20,181,0.00,3.50,3.92,0.00,0.30,1.64,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
6762,703,0.00,0.00,13.28,181,0.00,3.53,3.92,0.00,0.31,1.65,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
6831,702,0.00,0.00,13.20,181,0.00,3.53,3.92,0.00,0.30,1.65,16.50,100,12.75,-7.25,0,14.36,7.11,1,0,0
6900,698,0.00,0.00,13.28,181,0.00,3.55,3.92,0.00,0.31,1.64,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
6969,700,0.00,0.00,13.28,181,0.00,3.55,3.92,0.00,0.30,1.64,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
7039,702,0.00,0.00,13.12,181,0.00,3.55,3.92,0.00,0.30,1.65,16.50,100,12.75,-7.25,0,14.36,7.11,1,0,0
7107,700,0.00,0.00,13.28,181,0.00,3.55,3.92,0.00,0.30,1.64,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
7176,709,0.00,0.00,13.20,181,0.00,3.55,3.92,0.00,0.30,1.66,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
7246,647,0.00,0.00,13.28,181,0.00,3.55,3.92,0.00,0.30,1.65,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
7314,707,0.00,0.00,13.28,181,0.00,3.55,3.92,0.00,0.30,1.66,16.50,100,12.75,-7.25,0,14.36,7.11,1,0,0
7384,706,0.00,0.00,13.28,181,0.00,3.55,3.92,0.00,0.30,1.66,16.50,100,12.75,-7.25,0,14.36,7.11,1,0,0
7452,712,0.00,0.00,13.36,181,0.00,3.55,3.92,0.00,0.30,1.67,16.50,100,12.75,-7.25,0,14.36,7.11,1,0,0
7521,714,0.00,0.00,13.28,181,0.00,3.55,3.92,0.00,0.30,1.68,16.50,100,12.75,-7.25,0,14.36,7.11,1,0,0
7591,715,0.00,0.00,13.36,181,0.00,3.57,3.92,0.00,0.30,1.67,16.50,100,12.75,-7.25,0,14.36,7.11,1,0,0
7659,713,0.00,0.00,13.36,181,0.00,3.55,3.92,0.00,0.30,1.67,16.50,100,12.75,-7.25,0,14.36,7.11,1,0,0
7729,709,0.00,0.00,13.28,181,0.00,3.55,3.92,0.00,0.30,1.66,16.50,100,12.75,-7.25,0,14.36,7.11,1,0,0
7797,707,0.00,0.00,13.20,181,0.00,3.55,3.92,0.00,0.30,1.66,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
7866,707,0.00,0.00,13.28,181,0.00,3.55,3.92,0.00,0.30,1.66,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
7936,706,0.00,0.00,13.28,181,0.00,3.55,3.92,0.00,0.30,1.66,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
8005,642,0.00,0.00,13.36,181,0.00,3.55,3.92,0.00,0.30,1.65,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
8073,702,0.00,0.00,13.28,181,0.00,3.55,3.92,0.00,0.30,1.65,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
8142,704,0.00,0.00,13.28,181,0.00,3.55,3.92,0.00,0.30,1.66,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
8211,708,0.00,0.00,13.28,181,0.00,3.55,3.92,0.00,0.30,1.66,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
8280,706,0.00,0.00,13.28,181,0.00,3.55,3.92,0.00,0.30,1.66,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
8350,768,0.00,0.00,13.36,181,0.00,3.55,3.92,0.00,0.30,1.65,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
8418,699,0.00,0.00,13.28,181,0.00,3.55,3.92,0.00,0.30,1.64,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
8487,700,0.00,0.00,13.28,181,0.00,3.55,3.92,0.00,0.30,1.65,17.00,100,12.75,-7.25,0,14.36,7.11,1,0,0
8556,709,0.00,0.00,13.36,181,0.00,3.55,3.92,0.00,0.30,1.66,17.00,100,12.63,-7.25,0,14.36,7.11,1,0,0
8625,707,0.00,0.00,13.36,181,0.00,3.55,3.92,0.00,0.30,1.66,17.00,100,12.63,-7.25,0,14.36,7.11,1,0,0
8695,712,0.00,0.00,13.20,181,0.00,3.57,3.92,0.00,0.30,1.66,17.00,100,12.63,-7.25,0,14.36,7.11,1,0,0
8764,707,0.00,0.00,13.36,181,0.00,3.57,3.92,0.00,0.30,1.66,17.00,100,12.63,-7.25,0,14.36,7.11,1,0,0
8832,712,0.00,0.00,13.36,181,0.00,3.57,3.92,0.00,0.30,1.67,16.50,100,12.63,-7.25,0,14.36,7.11,1,0,0
8901,704,0.00,0.00,13.28,181,0.00,3.57,3.92,0.00,0.30,1.67,17.00,100,12.63,-7.25,0,14.36,7.11,1,0,0
8970,712,0.00,0.00,13.36,181,0.00,3.57,3.92,0.00,0.30,1.67,17.00,100,12.63,-7.25,0,14.36,7.11,1,0,0
9040,714,0.00,0.00,13.36,181,0.00,3.57,3.92,0.00,0.30,1.67,17.00,100,12.63,-7.25,0,14.36,7.11,1,0,0
9109,715,0.00,0.00,13.36,181,0.00,3.57,3.92,0.00,0.30,1.67,17.00,100,12.63,-7.25,0,14.36,7.11,1,0,0
9177,711,0.00,0.00,13.36,181,0.00,3.57,3.92,0.00,0.30,1.67,17.00,100,12.63,-7.25,0,14.36,7.11,1,0,0
9246,719,0.00,0.00,13.36,181,0.00,3.57,3.92,0.00,0.30,1.69,16.50,100,12.63,-7.25,0,14.36,7.11,1,0,0
9316,717,0.00,0.00,13.36,181,0.00,3.57,3.92,0.00,0.30,1.70,16.50,100,12.63,-7.25,0,14.36,7.11,1,0,0
9387,726,0.00,0.00,13.36,181,0.00,3.57,3.92,0.00,0.30,1.70,16.50,100,12.63,-7.25,0,14.36,7.11,1,0,0
9453,726,0.00,0.00,13.36,181,0.00,3.60,3.92,0.00,0.30,1.70,16.50,100,12.75,-7.25,0,14.36,7.11,1,0,0
9523,722,0.00,0.00,13.36,181,0.00,3.60,3.92,0.00,0.30,1.69,16.50,100,12.75,-7.25,0,14.36,7.11,1,0,0
9591,711,0.00,0.00,13.28,181,0.00,3.57,3.92,0.00,0.30,1.67,17.00,100,12.75,-7.25,0,14.36,6.96,1,0,0
9661,716,0.00,0.00,13.36,181,0.00,3.57,3.92,0.00,0.30,1.69,16.50,99,12.75,-7.25,0,14.36,7.11,1,0,0
9729,717,0.00,0.00,13.44,181,0.00,3.60,3.92,0.00,0.30,1.68,17.00,99,12.75,-7.25,0,14.36,7.11,1,0,0
9798,722,0.00,0.00,13.36,181,0.00,3.60,3.92,0.00,0.30,1.69,17.00,99,12.75,-7.25,0,14.36,7.11,1,0,0
9868,724,0.00,0.00,13.28,181,0.00,3.60,3.92,0.00,0.30,1.68,17.00,99,12.75,-7.25,0,14.36,7.11,1,0,0
9937,719,0.00,0.00,13.44,181,0.00,3.60,3.92,0.00,0.30,1.69,16.50,99,12.63,-7.25,0,14.36,6.96,1,0,0
10005,722,0.00,0.00,13.36,181,0.00,3.57,3.92,0.00,0.29,1.69,16.50,99,12.63,-7.25,0,14.36,6.96,1,0,0
10075,721,0.00,0.00,13.28,181,0.00,3.60,3.92,0.00,0.30,1.70,16.50,99,12.63,-7.25,0,14.36,6.96,1,0,0
10143,723,0.00,0.00,13.44,181,0.00,3.57,3.92,0.00,0.30,1.70,16.50,99,12.63,-7.25,0,14.36,6.96,1,0,0
10213,720,0.00,0.00,13.36,181,0.00,3.60,3.92,0.00,0.30,1.69,17.00,99,12.75,-7.25,0,14.36,6.96,1,0,0
10282,720,0.00,0.00,13.36,181,0.00,3.60,3.92,0.00,0.30,1.68,17.00,99,12.75,-7.25,0,14.36,6.96,1,0,0
10350,716,0.00,0.00,13.44,181,0.00,3.60,3.92,0.00,0.30,1.68,17.00,99,12.75,-7.25,0,14.36,6.96,1,0,0
10419,716,0.00,0.00,13.44,181,0.00,3.60,3.92,0.00,0.30,1.68,16.50,99,12.75,-7.25,0,14.36,6.96,1,0,0
10489,719,0.00,0.00,13.36,181,0.00,3.57,3.92,0.00,0.30,1.69,17.00,99,12.75,-7.25,0,14.36,6.96,1,0,0
10558,721,0.00,0.00,13.36,181,0.00,3.57,3.92,0.00,0.30,1.69,17.00,99,12.75,-7.25,0,14.36,7.11,1,0,0
10626,720,0.00,0.00,13.36,181,0.00,3.60,3.92,0.00,0.30,1.69,17.00,99,12.75,-7.25,0,14.36,6.96,1,0,0
10696,723,0.00,0.00,13.36,181,0.00,3.60,3.92,0.00,0.30,1.68,17.00,99,12.63,-7.25,0,14.36,7.11,1,0,0
10765,722,0.00,0.00,13.36,181,0.00,3.62,3.92,0.00,0.30,1.69,17.00,99,12.63,-7.25,0,14.36,7.11,1,0,0
10834,723,0.00,0.00,13.36,181,0.00,3.62,3.92,0.00,0.30,1.70,16.50,99,12.75,-7.25,0,14.36,7.11,1,0,0
10902,721,0.00,0.00,13.44,181,0.00,3.65,3.92,0.00,0.30,1.71,16.50,99,12.75,-7.25,0,14.36,7.11,1,0,0
10972,727,0.00,0.00,13.44,181,0.00,3.65,3.92,0.00,0.30,1.71,16.50,99,12.75,-7.25,0,14.36,7.11,1,0,0
11041,728,0.00,0.00,13.44,181,0.00,3.65,3.92,0.00,0.30,1.71,16.50,99,12.75,-7.25,0,14.36,7.11,1,0,0
11110,731,0.00,0.00,13.36,181,0.00,3.65,3.92,0.00,0.30,1.70,17.00,99,12.63,-7.25,0,14.36,7.11,1,0,0
11179,728,0.00,0.00,13.44,181,0.00,3.65,3.92,0.00,0.30,1.71,16.50,99,12.75,-7.25,0,14.36,7.11,1,0,0
11247,728,0.00,0.00,13.36,181,0.00,3.65,3.92,0.00,0.30,1.71,16.50,99,12.75,-7.25,0,14.36,7.11,1,0,0
11317,733,0.00,0.00,13.52,181,0.00,3.65,3.92,0.00,0.30,1.73,16.50,99,12.75,-7.25,0,14.36,7.11,1,0,0
11386,740,0.00,0.00,13.44,181,0.00,3.62,3.92,0.00,0.30,1.74,16.50,99,12.75,-7.25,0,14.36,7.11,1,0,0
11455,735,0.00,0.00,13.36,181,0.00,3.65,3.92,0.00,0.30,1.73,16.50,99,12.75,-7.25,0,14.36,7.11,1,0,0
11524,734,0.00,0.00,13.28,181,0.00,3.62,3.92,0.00,0.30,1.71,16.50,99,12.75,-7.25,0,14.36,7.11,1,0,0
11593,726,0.00,0.00,13.44,181,0.00,3.62,3.92,0.00,0.30,1.70,17.00,99,12.75,-7.25,0,14.36,7.11,1,0,0
11662,729,0.00,0.00,13.44,181,0.00,3.65,3.92,0.00,0.30,1.71,17.00,99,12.86,-7.25,0,14.36,7.11,1,0,0
11730,729,0.00,0.00,13.44,181,0.00,3.65,3.92,0.00,0.30,1.73,16.50,99,12.75,-7.25,0,14.36,7.11,1,0,0
11800,734,0.00,0.00,13.44,181,0.00,3.65,3.92,0.00,0.30,1.72,16.50,99,12.75,-7.25,0,14.36,7.11,1,0,0
11869,736,0.00,0.00,13.44,181,0.00,3.65,3.92,0.00,0.30,1.73,16.50,99,12.75,-7.25,0,14.36,7.11,1,0,0
11938,734,0.00,0.00,13.44,181,0.00,3.62,3.92,0.00,0.30,1.72,16.50,99,12.75,-7.25,0,14.36,6.96,1,0,0
12007,729,0.00,0.00,13.44,181,0.00,3.62,3.92,0.00,0.30,1.71,17.00,99,12.75,-7.25,0,14.36,6.96,1,0,0
12076,726,0.00,0.00,13.44,181,0.00,3.62,3.92,0.00,0.30,1.70,17.00,99,12.75,-7.25,0,14.36,6.96,1,0,0
12145,724,0.00,0.00,13.44,181,0.00,3.62,3.92,0.00,0.30,1.71,17.00,99,12.75,-7.25,0,14.36,7.11,1,0,0
12214,728,0.00,0.00,13.44,181,0.00,3.65,3.92,0.00,0.30,1.72,17.00,99,12.75,-7.25,0,14.36,7.11,1,0,0
12283,737,0.00,0.00,13.44,181,0.00,3.65,3.92,0.00,0.30,1.73,16.50,99,12.75,-7.25,0,14.36,7.11,1,0,0
12353,737,0.00,0.00,13.36,181,0.00,3.62,3.92,0.00,0.30,1.73,17.00,99,12.86,-7.25,0,14.36,7.11,1,0,0
