Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Atmospheric Pressure (psi),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Intake VVT Advance Angle Right (degrees),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Throttle Opening Angle (%),Air Conditioning Switch (On/Off),Idle Switch (On/Off),Rear O2 Sensor Rich Signal (On/Off),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
1656,-7.03,-0.78,14.59,14.36,13.60,199,0.24,1464,25.00,2.50,102,0,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
1726,-7.03,-0.78,14.59,14.36,13.68,199,0.24,1476,25.00,2.49,102,0,0.00,5.22,-9.14,5.88,5.88,0,0,0,14.50
1795,-7.03,-0.78,14.59,14.36,13.52,199,0.24,1456,25.00,2.51,102,0,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
1865,-7.03,-0.78,14.59,14.36,13.68,199,0.24,1453,25.00,2.50,102,0,0.00,5.22,-9.14,5.88,5.88,0,0,0,14.50
1932,-7.03,-0.78,14.59,14.36,13.60,199,0.24,1471,25.00,2.49,102,0,0.00,5.22,-9.14,5.88,5.88,0,0,0,14.50
2002,-7.03,-0.78,14.59,14.36,13.68,199,0.24,1476,25.00,2.52,102,0,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
2071,-7.03,-0.78,14.59,14.36,13.68,199,0.24,1468,25.00,2.53,102,0,0.00,5.22,-9.14,5.88,5.88,0,0,0,14.50
2140,-7.03,-0.78,14.59,14.36,13.52,199,0.24,1482,25.00,2.51,102,0,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
2208,-7.03,-0.78,14.59,14.36,13.76,199,0.24,1485,25.00,2.50,102,0,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.60
2278,-7.03,-0.78,14.59,14.36,13.52,199,0.24,1461,25.00,2.52,102,0,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
2347,-7.03,-0.78,14.59,14.36,13.68,199,0.24,1475,25.00,2.50,102,0,0.00,5.22,-9.14,5.88,5.88,0,0,0,14.50
2416,-7.03,-0.78,14.59,14.36,13.60,199,0.24,1480,25.00,2.51,102,0,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
2485,-7.03,-0.78,14.59,14.36,13.60,199,0.24,1467,25.00,2.52,102,0,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
2554,-7.03,-0.78,14.59,14.36,13.60,199,0.24,1470,25.00,2.51,102,0,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
2623,-7.03,-0.78,14.59,14.36,13.68,199,0.24,1489,25.00,2.51,102,0,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
2692,-7.03,-0.78,14.59,14.36,13.60,199,0.24,1472,25.00,2.53,102,0,0.00,5.22,-9.14,5.88,5.88,0,0,0,14.50
2761,-7.03,-0.78,14.59,14.36,13.60,199,0.24,1475,25.00,2.54,102,0,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
2830,-7.03,-0.78,14.59,14.36,13.52,199,0.24,1478,25.00,2.50,102,0,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.40
2899,-7.03,-0.78,14.59,14.36,13.52,199,0.24,1468,25.00,2.51,102,0,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
2968,-7.03,-0.78,14.59,14.36,13.68,199,0.25,1456,25.00,2.51,102,0,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
3036,-7.03,-0.78,14.59,14.36,13.52,199,0.24,1472,25.00,2.49,102,0,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
3107,-7.03,-0.78,14.59,14.36,13.68,199,0.24,1475,25.00,2.49,102,0,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
3175,-7.03,-0.78,14.59,14.36,13.52,199,0.24,1460,25.00,2.51,102,0,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
3244,-7.03,-0.78,14.59,14.36,13.68,199,0.25,1474,25.00,2.49,102,0,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
3313,-7.03,-0.78,14.59,14.36,13.60,199,0.24,1475,25.00,2.49,102,0,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
3382,-7.03,-0.78,14.59,14.36,13.60,199,0.24,1458,25.00,2.52,102,0,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
3451,-7.03,-0.78,14.59,14.36,13.52,199,0.24,1461,25.00,2.49,102,0,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
3520,-7.03,-0.78,14.59,14.36,13.68,199,0.24,1464,25.00,2.48,102,0,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
3590,-7.03,-0.78,14.59,14.36,13.60,199,0.24,1455,25.00,2.50,102,0,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
3658,-7.03,-0.78,14.59,14.36,13.60,199,0.24,1458,25.00,2.49,102,0,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
3727,-7.03,-0.78,14.59,14.36,13.60,199,0.24,1471,25.00,2.48,102,0,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
3796,-7.03,-0.78,14.59,14.36,13.60,199,0.24,1460,25.00,2.52,102,0,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.60
3866,-7.03,-0.78,14.59,14.36,13.76,199,0.24,1456,25.00,2.50,102,0,0.00,5.22,-9.14,5.88,5.88,0,0,0,14.50
3935,-7.03,-0.78,14.59,14.36,13.52,199,0.25,1464,25.00,2.48,102,0,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
4003,-7.03,-0.78,14.59,14.36,13.68,199,0.24,1454,25.00,2.50,102,0,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
4072,-7.03,-0.78,14.59,14.36,13.60,199,0.25,1447,25.00,2.48,102,0,0.00,5.22,-9.14,5.88,5.88,0,0,0,14.50
4142,-7.03,-0.78,14.59,14.36,13.68,201,0.24,1459,24.50,2.48,102,0,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
4210,-7.03,-0.78,14.59,14.36,13.60,201,0.24,1459,25.00,2.49,102,0,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
4279,-7.03,-0.78,14.59,14.36,13.68,201,0.25,1442,25.00,2.49,102,0,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
4348,-7.03,-0.78,14.59,14.36,13.68,201,0.25,1458,24.50,2.46,102,1,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
4417,-7.03,-0.78,14.59,14.36,13.60,201,0.25,1457,25.00,2.49,102,1,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.60
4486,-7.03,-0.78,14.59,14.36,13.68,201,0.25,1453,25.00,2.50,102,0,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.60
4557,-7.03,-1.56,14.59,14.36,13.44,201,0.25,1457,24.50,2.46,102,0,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.60
4624,-6.25,-1.56,14.59,14.36,13.52,201,0.25,1454,25.00,2.48,102,0,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.60
4693,-7.03,-1.56,14.59,14.36,13.60,201,0.25,1446,25.00,2.49,102,1,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.70
4762,-7.03,-1.56,14.59,14.36,13.60,201,0.25,1460,25.00,2.47,102,1,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.70
4831,-7.03,-1.56,14.59,14.36,13.44,201,0.24,1460,25.00,2.49,102,1,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
4900,-7.03,-1.56,14.59,14.36,13.60,201,0.25,1449,25.00,2.49,102,1,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
4968,-7.03,-1.56,14.59,14.36,13.60,201,0.25,1450,24.50,2.45,102,1,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
5038,-7.03,-1.56,14.59,14.36,13.68,201,0.25,1455,25.00,2.48,102,1,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
5107,-7.03,-1.56,14.59,14.36,13.68,201,0.25,1436,25.00,2.48,102,1,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
5176,-7.03,-1.56,14.59,14.36,13.60,201,0.24,1458,24.50,2.47,102,1,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
5245,-7.03,-1.56,14.59,14.36,13.68,201,0.24,1456,25.00,2.48,102,1,0.00,5.22,-9.14,5.88,5.88,0,0,0,14.50
5314,-7.03,-1.56,14.59,14.36,13.60,201,0.25,1444,25.00,2.50,102,1,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
5384,-7.03,-1.56,14.59,14.36,13.68,201,0.24,1461,25.00,2.48,102,1,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
5452,-7.03,-1.56,14.59,14.36,13.52,201,0.24,1457,25.00,2.49,102,1,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
5521,-7.03,-1.56,14.59,14.36,13.68,201,0.25,1445,25.00,2.49,102,1,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
5591,-6.25,-1.56,14.59,14.36,13.44,201,0.25,1461,24.50,2.47,102,2,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
5659,-6.25,-1.56,14.59,14.36,13.68,201,0.24,1464,25.00,2.50,102,2,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
5728,-6.25,-1.56,14.59,14.36,13.60,201,0.24,1454,25.00,2.50,102,2,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
5797,-6.25,-1.56,14.59,14.36,13.60,201,0.25,1462,25.00,2.48,102,1,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.60
5866,-6.25,-1.56,14.59,14.36,13.60,201,0.24,1467,25.00,2.50,102,2,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.70
5936,-6.25,-1.56,14.59,14.36,13.60,201,0.24,1459,25.00,2.51,102,2,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.70
6005,-6.25,-1.56,14.59,14.36,13.68,201,0.24,1474,25.00,2.49,102,2,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
6073,-6.25,-1.56,14.59,14.36,13.60,201,0.24,1478,25.00,2.49,102,2,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
6143,-6.25,-1.56,14.59,14.36,13.60,201,0.24,1468,25.00,2.53,102,2,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
6211,-6.25,-1.56,14.59,14.36,13.60,201,0.24,1468,25.00,2.51,102,2,0.00,5.22,-9.14,5.92,5.88,0,0,0,14.50
6280,-6.25,-1.56,14.59,14.36,13.68,201,0.24,1476,25.00,2.50,102,2,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
6350,-6.25,-1.56,14.59,14.36,13.52,201,0.24,1463,25.00,2.52,102,2,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
6419,-6.25,-1.56,14.59,14.36,13.68,201,0.24,1466,25.00,2.52,102,3,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.50
6488,-6.25,-1.56,14.59,14.36,13.52,201,0.24,1480,25.00,2.50,102,3,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
6558,-6.25,-1.56,14.59,14.36,13.60,201,0.24,1480,25.00,2.53,102,3,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
6626,-6.25,-1.56,14.59,14.36,13.68,201,0.24,1468,25.00,2.53,102,3,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.40
6695,-6.25,-1.56,14.59,14.36,13.60,201,0.24,1481,25.00,2.51,102,3,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.60
6763,-6.25,-1.56,14.59,14.36,13.52,201,0.24,1483,25.00,2.51,102,3,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.60
6833,-6.25,-1.56,14.59,14.36,13.60,201,0.24,1470,25.00,2.53,102,3,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.60
6902,-7.03,-1.56,14.59,14.36,13.60,201,0.24,1478,25.00,2.52,102,4,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.50
6971,-7.03,-1.56,14.47,14.36,13.60,201,0.24,1490,25.00,2.52,102,4,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
7040,-7.03,-1.56,14.47,14.36,13.68,201,0.24,1480,25.50,2.55,102,4,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
7109,-7.03,-1.56,14.47,14.36,13.60,201,0.24,1476,25.50,2.54,102,4,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
7178,-7.03,-1.56,14.59,14.36,13.68,201,0.24,1482,25.00,2.51,102,4,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.50
7246,-7.03,-1.56,14.59,14.36,13.52,201,0.24,1488,25.00,2.54,102,4,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.50
7316,-7.03,-1.56,14.59,14.36,13.52,201,0.24,1481,25.50,2.54,102,4,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.40
7385,-7.03,-1.56,14.59,14.36,13.68,201,0.24,1485,25.00,2.51,102,4,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.50
7454,-7.03,-1.56,14.59,14.36,13.60,201,0.24,1491,25.00,2.52,102,5,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.50
7522,-6.25,-1.56,14.59,14.36,13.60,201,0.24,1471,25.00,2.53,102,5,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
7592,-6.25,-1.56,14.59,14.36,13.68,201,0.24,1470,25.00,2.51,102,4,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.60
7661,-6.25,-1.56,14.59,14.36,13.68,201,0.24,1481,25.00,2.50,102,4,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.60
7730,-6.25,-1.56,14.59,14.36,13.60,201,0.24,1468,25.00,2.52,102,5,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.60
7799,-6.25,-1.56,14.59,14.36,13.68,201,0.24,1470,25.00,2.53,102,5,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.60
7868,-6.25,-1.56,14.59,14.36,13.60,201,0.24,1484,25.00,2.50,102,5,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
7936,-6.25,-1.56,14.59,14.36,13.68,201,0.24,1476,25.00,2.52,102,5,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
8006,-6.25,-1.56,14.59,14.36,13.68,201,0.24,1466,25.00,2.53,102,5,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.50
8075,-6.25,-1.56,14.59,14.36,13.60,201,0.25,1476,25.00,2.50,102,5,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.70
8144,-6.25,-1.56,14.59,14.36,13.68,201,0.24,1476,25.00,2.52,102,5,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.70
8213,-6.25,-1.56,14.59,14.36,13.60,201,0.24,1468,25.00,2.53,102,5,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
8281,-6.25,-1.56,14.59,14.36,13.68,201,0.25,1478,25.00,2.49,102,6,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
8351,-6.25,-1.56,14.59,14.36,13.60,201,0.24,1477,25.00,2.50,102,6,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
8420,-6.25,-1.56,14.59,14.36,13.60,201,0.24,1467,25.00,2.52,102,6,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.50
8489,-6.25,-1.56,14.59,14.36,13.60,201,0.25,1462,25.00,2.50,102,6,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.50
8558,-6.25,-1.56,14.59,14.36,13.60,201,0.24,1474,25.00,2.49,102,6,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.40
8627,-6.25,-1.56,14.59,14.36,13.60,201,0.25,1454,25.00,2.50,102,6,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.40
8696,-6.25,-1.56,14.59,14.36,13.60,201,0.25,1456,25.00,2.51,102,7,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.50
8765,-6.25,-1.56,14.59,14.36,13.60,201,0.24,1472,25.00,2.49,102,7,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.50
8834,-6.25,-1.56,14.59,14.36,13.52,201,0.24,1460,25.00,2.51,102,7,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.50
8903,-6.25,-2.34,14.59,14.36,13.68,201,0.25,1454,25.00,2.50,102,6,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.60
8971,-6.25,-2.34,14.59,14.36,13.60,201,0.25,1462,25.00,2.47,100,7,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.60
9041,-6.25,-2.34,14.59,14.36,13.60,201,0.25,1457,25.00,2.49,100,7,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.60
9110,-6.25,-2.34,14.59,14.36,13.52,201,0.25,1438,25.00,2.47,100,7,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.60
9179,-6.25,-2.34,14.59,14.36,13.68,201,0.25,1448,24.50,2.45,100,7,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
9248,-6.25,-2.34,14.59,14.36,13.60,201,0.25,1430,24.50,2.46,100,7,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
9317,-6.25,-2.34,14.59,14.36,13.68,201,0.25,1426,24.50,2.46,100,7,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.50
9385,-6.25,-2.34,14.59,14.36,13.68,201,0.25,1443,24.50,2.44,100,7,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.60
9454,-6.25,-2.34,14.59,14.36,13.60,201,0.25,1430,24.50,2.46,100,7,0.00,5.37,-9.00,5.95,5.88,0,0,0,14.60
9524,-6.25,-2.34,14.59,14.36,13.68,201,0.25,1434,24.50,2.45,100,8,0.00,5.37,-9.00,5.95,5.88,0,0,0,14.60
9593,-6.25,-2.34,14.59,14.36,13.60,201,0.25,1444,24.50,2.44,100,8,0.00,5.37,-9.00,5.95,5.88,0,0,0,14.50
9662,-6.25,-2.34,14.59,14.36,13.68,201,0.25,1431,24.50,2.46,100,8,0.00,5.37,-9.00,5.95,5.88,0,0,0,14.50
9731,-6.25,-2.34,14.59,14.36,13.60,201,0.25,1434,24.50,2.45,100,8,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
9801,-6.25,-2.34,14.59,14.36,13.68,201,0.25,1446,24.50,2.45,100,8,0.00,5.37,-9.00,5.98,5.88,0,0,0,14.50
9869,-6.25,-2.34,14.59,14.36,13.60,201,0.25,1445,25.00,2.48,100,8,0.00,5.37,-9.00,5.95,5.88,0,0,0,14.50
9938,-6.25,-2.34,14.59,14.36,13.68,201,0.25,1443,24.50,2.46,100,8,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
10007,-6.25,-2.34,14.59,14.36,13.60,201,0.25,1462,24.50,2.47,100,9,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
10076,-6.25,-2.34,14.59,14.36,13.60,201,0.24,1452,25.00,2.51,100,9,0.00,5.22,-9.14,5.98,5.88,0,0,0,14.50
10145,-6.25,-2.34,14.59,14.36,13.68,201,0.25,1441,25.00,2.46,100,8,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
10214,-6.25,-2.34,14.59,14.36,13.52,201,0.24,1459,24.50,2.47,100,8,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
10283,-6.25,-2.34,14.59,14.36,13.52,201,0.25,1445,25.00,2.48,100,9,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
10352,-6.25,-2.34,14.59,14.36,13.60,201,0.25,1440,24.50,2.46,100,9,0.00,5.22,-9.14,5.95,5.88,0,0,0,14.50
10421,-6.25,-2.34,14.59,14.36,13.68,201,0.24,1457,24.50,2.47,100,9,0.00,5.37,-9.00,5.95,5.88,0,0,0,14.50
10490,-6.25,-2.34,14.59,14.36,13.44,201,0.25,1446,25.00,2.48,100,9,0.00,5.37,-9.00,5.98,5.88,0,0,0,14.50
10559,-6.25,-2.34,14.59,14.36,13.68,201,0.25,1436,24.50,2.45,100,9,0.00,5.37,-9.00,5.98,5.88,0,0,0,14.60
10628,-6.25,-2.34,14.59,14.36,13.60,201,0.25,1454,24.50,2.47,100,9,0.00,5.37,-9.00,5.98,5.88,0,0,0,14.60
10697,-6.25,-2.34,14.59,14.36,13.60,201,0.25,1445,25.00,2.48,100,9,0.00,5.37,-9.00,5.98,5.88,0,0,0,14.50
10766,-6.25,-2.34,14.59,14.36,13.68,201,0.25,1436,24.50,2.45,100,10,0.00,5.37,-9.00,5.98,5.88,0,0,0,14.60
10835,-6.25,-2.34,14.59,14.36,13.68,201,0.25,1449,24.50,2.45,100,10,0.00,5.37,-9.00,5.98,5.88,0,0,0,14.60
10904,-6.25,-2.34,14.59,14.36,13.68,201,0.25,1434,24.50,2.47,100,10,0.00,5.37,-9.00,5.98,5.88,0,0,0,14.50
10973,-6.25,-2.34,14.59,14.36,13.60,201,0.25,1428,24.50,2.44,100,10,0.00,5.37,-9.00,5.98,5.88,0,0,0,14.50
11042,-6.25,-2.34,14.59,14.36,13.68,201,0.25,1443,24.50,2.43,100,10,0.00,5.37,-9.00,5.98,5.88,0,0,0,14.50
11111,-6.25,-2.34,14.59,14.36,13.60,201,0.25,1420,24.50,2.43,100,10,0.00,5.37,-9.00,5.98,5.88,0,0,0,14.50
11180,-6.25,-2.34,14.59,14.36,13.68,201,0.25,1426,24.00,2.42,100,10,0.00,5.37,-9.00,5.98,5.88,0,0,0,14.50
11249,-6.25,-2.34,14.59,14.36,13.60,201,0.25,1428,24.50,2.44,100,10,0.00,5.37,-9.00,5.98,5.88,0,0,0,14.50
11318,-6.25,-2.34,14.59,14.36,13.76,201,0.25,1410,24.50,2.43,100,10,0.00,5.37,-9.00,5.98,5.88,0,0,0,14.60
11387,-6.25,-2.34,14.59,14.36,13.60,201,0.25,1421,24.00,2.40,100,10,0.00,5.37,-9.00,5.98,5.88,0,0,0,14.50
11456,-6.25,-2.34,14.59,14.36,13.68,201,0.25,1410,24.50,2.42,100,10,0.00,5.37,-9.00,5.98,5.88,0,0,0,14.50
11525,-6.25,-2.34,14.59,14.36,13.60,201,0.25,1408,24.00,2.40,100,10,0.00,5.37,-9.00,5.98,5.88,0,0,0,14.50
11594,-6.25,-2.34,14.59,14.36,13.60,201,0.25,1426,24.00,2.42,100,11,0.00,5.37,-9.00,5.95,5.88,0,0,0,14.60
11663,-6.25,-2.34,14.59,14.36,13.60,201,0.25,1407,24.50,2.42,100,11,0.00,5.37,-9.00,5.92,5.88,0,0,0,14.60
11732,-6.25,-2.34,14.59,14.36,13.60,201,0.26,1409,24.00,2.38,100,10,0.00,5.37,-9.00,5.95,5.88,0,0,0,14.60
11801,-6.25,-2.34,14.59,14.36,13.76,201,0.25,1408,24.00,2.40,100,10,0.00,5.37,-9.00,5.95,5.88,0,0,0,14.40
11870,-6.25,-2.34,14.59,14.36,13.60,201,0.25,1397,24.00,2.40,100,11,0.00,5.37,-9.00,5.95,5.88,0,0,0,14.50
