Time (msec),A/F Correction #1 (%),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Engine Load (Calculated) (g/rev),Fuel Injector #1 Pulse Width (ms),Mass Airflow (g/s),Throttle Opening Angle (%),Knock Correction Advance (degrees),CL/OL Fueling* (status),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Closed Loop Fueling Target (2-byte)* (lambda),Closed Loop Fueling Target (4-byte)* (estimated AFR),Engine Load (4-Byte)* (g/rev),Feedback Knock Correction (1-byte)** (degrees),Feedback Knock Correction (4-byte)* (degrees),Fuel Injector #1 Pulse Width (4-byte)* (ms),IAM (1-byte)** (multiplier),IAM (4-byte)* (multiplier),Primary Open Loop Map Enrichment (4-byte)* (estimated AFR)
4370,0.00,12.80,102,1232,0.34,3.07,6.93,7.84,0.00,7,13.70,1.00,14.64,0.32,0.00,0.00,2.3800,0.5000,0.5000,14.70
4474,0.00,12.80,102,1212,0.35,3.07,6.93,7.45,0.00,7,13.70,1.00,14.64,0.33,0.00,0.00,2.4087,0.5000,0.5000,14.70
4578,0.00,12.80,102,1172,0.35,3.33,6.93,7.45,0.00,7,13.60,1.00,14.64,0.33,0.00,0.00,2.4655,0.5000,0.5000,14.70
4682,0.00,12.80,102,1157,0.36,3.33,6.97,7.45,0.00,7,13.60,1.00,14.65,0.34,0.00,0.00,2.5100,0.5000,0.5000,14.70
4786,0.00,12.88,102,1123,0.37,3.33,6.93,7.45,0.00,7,13.80,1.00,14.65,0.35,0.00,0.00,2.5715,0.5000,0.5000,14.70
4890,0.00,12.88,102,1099,0.38,3.33,6.97,7.45,0.00,7,13.90,1.00,14.66,0.36,0.00,0.00,2.6095,0.5000,0.5000,14.70
4994,0.00,12.88,102,1075,0.39,3.33,6.97,7.84,0.00,7,14.00,1.00,14.67,0.37,0.00,0.00,2.6803,0.5000,0.5000,14.70
5098,0.00,12.96,102,1056,0.40,3.58,6.97,7.45,0.00,7,14.20,1.00,14.67,0.38,0.00,0.00,2.7052,0.5000,0.5000,14.70
5202,0.00,12.88,102,1056,0.39,3.58,6.93,7.45,0.00,7,14.30,1.00,14.67,0.38,0.00,0.00,2.7348,0.5000,0.5000,14.70
5306,0.00,13.12,102,1054,0.39,3.58,6.93,8.24,0.00,7,14.40,1.00,14.67,0.39,0.00,0.00,2.7335,0.5000,0.5000,14.70
5410,0.00,13.12,102,1061,0.41,3.58,7.29,8.24,0.00,7,14.60,1.00,14.67,0.39,0.00,0.00,2.7622,0.5000,0.5000,14.70
5514,0.00,12.96,102,1053,0.42,3.58,7.29,8.24,0.00,7,14.60,1.00,14.67,0.40,0.00,0.00,2.8310,0.5000,0.5000,14.70
5618,0.00,13.12,102,1056,0.41,3.58,7.29,8.24,0.00,7,15.10,1.00,14.68,0.41,0.00,0.00,2.8542,0.5000,0.5000,14.70
5722,0.00,13.20,102,1056,0.42,3.58,7.37,8.24,0.00,7,15.10,1.00,14.68,0.41,0.00,0.00,2.8760,0.5000,0.5000,14.70
5826,0.00,13.20,102,1041,0.42,3.58,7.44,8.24,0.00,7,15.40,1.00,14.67,0.41,0.00,0.00,2.8780,0.5000,0.5000,14.70
5930,0.00,13.28,102,1044,0.43,3.58,7.44,8.24,0.00,7,15.80,1.00,14.67,0.42,0.00,0.00,2.9195,0.5000,0.5000,14.70
6034,0.00,13.12,102,1034,0.44,3.58,7.52,8.63,0.00,7,16.00,1.00,14.67,0.42,0.00,0.00,2.9308,0.5000,0.5000,14.70
6138,0.00,13.12,102,1032,0.45,3.58,7.60,8.63,0.00,7,16.20,1.00,14.67,0.43,0.00,0.00,2.9788,0.5000,0.5000,14.70
6242,0.00,13.36,102,1034,0.44,3.84,7.60,8.63,0.00,7,16.30,1.00,14.67,0.43,0.00,0.00,2.9678,0.5000,0.5000,14.70
6346,0.00,13.28,102,1000,0.45,3.84,7.60,8.63,0.00,7,16.30,1.00,14.67,0.44,0.00,0.00,3.0220,0.5000,0.5000,14.70
6450,0.00,13.36,102,1026,0.45,3.84,7.68,8.63,0.00,7,16.50,1.00,14.67,0.44,0.00,0.00,3.0513,0.5000,0.5000,14.70
6554,0.00,13.28,102,999,0.46,3.84,7.68,8.63,0.00,7,16.50,1.00,14.67,0.45,0.00,0.00,3.0598,0.5000,0.5000,14.70
6658,0.00,13.28,102,994,0.46,3.84,7.68,8.63,0.00,7,16.70,1.00,14.67,0.45,0.00,0.00,3.0900,0.5000,0.5000,14.70
6762,0.00,13.36,102,985,0.46,3.84,7.72,8.63,0.00,7,16.70,1.00,14.67,0.46,0.00,0.00,3.1118,0.5000,0.5000,14.70
6866,0.00,13.36,102,1009,0.46,3.84,7.76,8.63,0.00,7,17.00,1.00,14.67,0.46,0.00,0.00,3.1240,0.5000,0.5000,14.70
6970,0.00,13.44,102,1014,0.47,3.84,7.76,9.02,0.00,7,16.90,1.00,14.67,0.46,0.00,0.00,3.1187,0.5000,0.5000,14.70
7074,0.00,13.44,102,994,0.46,3.84,7.76,9.02,0.00,7,16.90,1.00,14.67,0.46,0.00,0.00,3.1172,0.5000,0.5000,14.70
7178,0.00,13.36,102,992,0.47,3.84,7.92,9.02,0.00,7,16.90,1.00,14.67,0.47,0.00,0.00,3.1555,0.5000,0.5000,14.70
7282,0.00,13.44,102,1013,0.47,3.84,7.92,9.02,0.00,7,17.10,1.00,14.66,0.47,0.00,0.00,3.1495,0.5000,0.5000,14.70
7386,0.00,13.52,102,988,0.48,3.84,7.92,9.02,0.00,7,17.10,1.00,14.67,0.47,0.00,0.00,3.1565,0.5000,0.5000,14.70
7490,0.00,13.44,102,1020,0.47,3.84,7.92,9.02,0.00,7,17.10,1.00,14.66,0.47,0.00,0.00,3.1442,0.5000,0.5000,14.70
7594,0.00,13.52,102,1038,0.46,3.84,8.07,9.41,0.00,7,17.40,1.00,14.66,0.47,0.00,0.00,3.1300,0.5000,0.5000,14.70
7698,0.00,13.52,102,1056,0.46,3.84,8.07,9.41,0.00,7,17.20,1.00,14.66,0.47,0.00,0.00,3.0890,0.5000,0.5000,14.70
7802,0.00,13.52,102,1055,0.47,3.84,8.23,9.41,0.00,7,17.10,1.00,14.66,0.46,0.00,0.00,3.0795,0.5000,0.5000,14.70
7906,0.00,13.52,102,1080,0.46,3.84,8.27,9.41,0.00,7,17.20,1.00,14.66,0.47,0.00,0.00,3.0627,0.5000,0.5000,14.70
8010,0.00,13.60,102,1076,0.47,3.84,8.39,9.41,0.00,7,17.20,1.00,14.66,0.46,0.00,0.00,3.0482,0.5000,0.5000,14.70
8114,0.00,13.52,102,1096,0.46,3.84,8.39,9.41,0.00,7,17.10,1.00,14.65,0.46,0.00,0.00,3.0228,0.5000,0.5000,14.70
8218,0.00,13.60,102,1111,0.46,3.84,8.55,9.41,0.00,7,17.10,1.00,14.65,0.46,0.00,0.00,3.0063,0.5000,0.5000,14.70
8323,0.00,13.52,102,1130,0.45,3.84,8.55,9.41,0.00,7,17.00,1.00,14.65,0.46,0.00,0.00,2.9823,0.5000,0.5000,14.70
8427,0.00,13.52,102,1154,0.45,3.58,8.71,9.41,0.00,7,17.00,1.00,14.65,0.46,0.00,0.00,2.9595,0.5000,0.5000,14.70
8531,0.00,13.52,102,1168,0.45,3.58,8.80,9.41,0.00,7,17.00,1.00,14.64,0.45,0.00,0.00,2.9183,0.5000,0.5000,14.70
8635,0.00,13.60,100,1193,0.44,3.58,8.80,9.41,0.00,7,16.90,1.00,14.65,0.45,0.00,0.00,2.8982,0.5000,0.5000,14.70
8739,0.00,13.52,100,1195,0.45,3.58,9.06,9.41,0.00,7,16.80,1.00,14.64,0.45,0.00,0.00,2.8875,0.5000,0.5000,14.70
8843,0.00,13.52,100,1244,0.45,3.58,9.32,9.80,0.00,7,16.80,1.00,14.64,0.45,0.00,0.00,2.9093,0.5000,0.5000,14.70
8947,0.00,13.68,100,1247,0.46,3.58,9.37,9.80,0.00,7,16.60,1.00,14.64,0.45,0.00,0.00,2.8982,0.5000,0.5000,14.70
9051,0.00,13.60,100,1242,0.46,3.58,9.41,9.80,0.00,7,16.80,1.00,14.64,0.45,0.00,0.00,2.9032,0.5000,0.5000,14.70
9154,0.00,13.52,100,1276,0.45,3.58,9.50,9.80,0.00,7,16.70,1.00,14.64,0.45,0.00,0.00,2.9127,0.5000,0.5000,14.70
9259,0.00,13.68,100,1291,0.44,3.58,9.54,9.80,0.00,7,16.40,1.00,14.63,0.45,0.00,0.00,2.9087,0.5000,0.5000,14.70
9363,0.00,13.60,100,1304,0.44,3.58,9.59,9.80,0.00,7,16.40,1.00,14.63,0.45,0.00,0.00,2.9050,0.5000,0.5000,14.70
9467,0.00,13.60,100,1328,0.44,3.58,9.67,9.80,0.00,7,16.30,1.00,14.63,0.44,0.00,0.00,2.8843,0.5000,0.5000,14.70
9571,0.00,13.60,100,1335,0.44,3.58,9.98,9.80,0.00,7,16.30,1.00,14.63,0.44,0.00,0.00,2.8840,0.5000,0.5000,14.70
9675,0.00,13.60,100,1341,0.45,3.58,9.89,9.80,0.00,7,16.10,1.00,14.63,0.44,0.00,0.00,2.9043,0.5000,0.5000,14.70
9779,0.00,13.60,100,1391,0.44,3.58,9.98,9.80,0.00,7,16.10,1.00,14.63,0.44,0.00,0.00,2.8935,0.5000,0.5000,14.70
9883,0.00,13.60,100,1388,0.43,3.58,9.98,9.80,0.00,7,16.10,0.99,14.63,0.44,0.00,0.00,2.8558,0.5000,0.5000,14.70
9987,0.00,13.68,100,1408,0.44,3.58,10.26,10.20,0.00,7,16.10,0.99,14.63,0.43,0.00,0.00,2.8435,0.5000,0.5000,14.70
10091,0.00,13.60,100,1374,0.44,3.58,10.21,10.20,0.00,7,15.60,0.99,14.63,0.44,0.00,0.00,2.8582,0.5000,0.5000,14.70
10195,0.00,13.60,100,1384,0.44,3.58,10.36,10.20,0.00,7,15.60,1.00,14.63,0.44,0.00,0.00,2.8818,0.5000,0.5000,14.70
10299,0.00,13.52,100,1374,0.46,3.58,10.41,10.20,0.00,7,15.40,1.00,14.63,0.44,0.00,0.00,2.8843,0.5000,0.5000,14.70
10404,0.00,13.60,100,1359,0.46,3.58,10.55,10.20,0.00,7,15.40,1.00,14.63,0.45,0.00,0.00,2.9215,0.5000,0.5000,14.70
10508,0.00,13.68,100,1398,0.46,3.58,10.50,10.59,0.00,7,15.50,1.00,14.63,0.45,0.00,0.00,2.9463,0.5000,0.5000,14.70
10611,0.00,13.60,100,1380,0.46,3.58,10.60,10.20,0.00,7,15.50,1.00,14.63,0.46,0.00,0.00,2.9555,0.5000,0.5000,14.70
10715,0.00,13.52,100,1395,0.45,3.58,10.55,10.59,0.00,7,15.60,1.00,14.63,0.46,0.00,0.00,2.9610,0.5000,0.5000,14.70
10820,0.00,13.60,100,1402,0.46,3.58,10.75,10.59,0.00,7,15.70,0.99,14.63,0.46,0.00,0.00,2.9527,0.5000,0.5000,14.70
10923,0.00,13.68,100,1400,0.46,3.58,10.84,10.59,0.00,7,15.50,0.99,14.63,0.46,0.00,0.00,2.9620,0.5000,0.5000,14.70
11027,0.00,13.68,100,1424,0.46,3.58,10.79,10.59,0.00,7,15.70,0.99,14.63,0.46,0.00,0.00,2.9680,0.5000,0.5000,14.70
11132,0.00,13.68,100,1429,0.45,3.58,10.79,10.59,0.00,7,15.70,0.99,14.63,0.46,0.00,0.00,2.9590,0.5000,0.5000,14.70
11235,0.00,13.60,100,1433,0.46,3.58,10.94,10.59,0.00,7,15.60,0.99,14.63,0.46,0.00,0.00,2.9407,0.5000,0.5000,14.70
11340,0.00,13.68,100,1424,0.46,3.58,10.99,10.59,0.00,7,15.60,0.99,14.62,0.46,0.00,0.00,2.9405,0.5000,0.5000,14.70
11443,0.00,13.60,100,1442,0.46,3.58,10.89,10.59,0.00,7,15.50,0.99,14.62,0.46,0.00,0.00,2.8988,0.5000,0.5000,14.70
11548,0.00,13.68,100,1458,0.45,3.58,11.08,10.59,0.00,7,15.50,0.99,14.62,0.46,0.00,0.00,2.8902,0.5000,0.5000,14.70
11652,0.00,13.68,100,1463,0.46,3.58,11.04,10.59,0.00,7,15.50,0.99,14.62,0.46,0.00,0.00,2.8647,0.5000,0.5000,14.70
11756,0.00,13.60,100,1459,0.45,3.58,11.08,10.59,0.00,7,15.60,0.99,14.62,0.45,0.00,0.00,2.8630,0.5000,0.5000,14.70
11860,0.00,13.68,100,1475,0.46,3.58,11.33,10.98,0.00,7,15.40,0.99,14.62,0.45,0.00,0.00,2.8585,0.5000,0.5000,14.70
11964,0.00,13.68,100,1473,0.45,3.58,11.23,10.98,0.00,7,15.10,0.99,14.62,0.46,0.00,0.00,2.8508,0.5000,0.5000,14.70
12067,0.00,13.52,100,1475,0.46,3.58,11.23,10.98,0.00,7,15.10,0.99,14.62,0.45,0.00,0.00,2.8490,0.5000,0.5000,14.70
12172,0.00,13.68,100,1478,0.46,3.58,11.18,10.98,0.00,7,15.20,0.99,14.62,0.46,0.00,0.00,2.8378,0.5000,0.5000,14.70
12275,0.00,13.60,100,1483,0.46,3.58,11.33,10.98,0.00,7,15.10,0.99,14.62,0.46,0.00,0.00,2.8533,0.5000,0.5000,14.70
12379,0.00,13.60,100,1492,0.46,3.58,11.37,10.98,0.00,7,15.10,0.99,14.62,0.46,0.00,0.00,2.8380,0.5000,0.5000,14.70
12484,0.00,13.68,100,1507,0.45,3.58,11.28,10.98,0.00,7,15.10,0.99,14.62,0.46,0.00,0.00,2.8240,0.5000,0.5000,14.70
12588,0.00,13.60,100,1510,0.46,3.58,11.42,10.98,0.00,7,15.10,0.99,14.62,0.45,0.00,0.00,2.8145,0.5000,0.5000,14.70
12692,0.00,13.68,100,1489,0.46,3.58,11.33,10.98,0.00,7,15.10,0.99,14.62,0.46,0.00,0.00,2.8090,0.5000,0.5000,14.70
12796,0.00,13.68,100,1500,0.46,3.58,11.52,10.98,0.00,7,15.20,0.99,14.62,0.46,0.00,0.00,2.8055,0.5000,0.5000,14.70
12900,0.00,13.60,100,1501,0.46,3.58,11.47,10.59,0.00,7,15.10,0.99,14.62,0.46,0.00,0.00,2.7975,0.5000,0.5000,14.70
13004,0.00,13.60,100,1500,0.45,3.58,11.28,10.59,0.00,7,15.30,0.99,14.62,0.46,0.00,0.00,2.7993,0.5000,0.5000,14.70
13108,0.00,13.68,100,1510,0.45,3.58,11.28,10.59,0.00,7,15.40,0.99,14.62,0.45,0.00,0.00,2.7525,0.5000,0.5000,14.70
13212,0.00,13.68,100,1480,0.45,3.58,11.18,10.59,0.00,7,15.10,0.99,14.62,0.45,0.00,0.00,2.7400,0.5000,0.5000,14.70
13316,0.00,13.68,100,1497,0.45,3.58,11.28,10.59,0.00,7,15.10,0.99,14.62,0.45,0.00,0.00,2.7450,0.5000,0.5000,14.70
13420,0.00,13.60,100,1490,0.46,3.58,11.18,10.59,0.00,7,15.00,0.99,14.62,0.45,0.00,0.00,2.7408,0.5000,0.5000,14.70
13524,0.00,13.60,100,1469,0.46,3.58,11.28,10.59,0.00,7,14.90,0.99,14.62,0.45,0.00,0.00,2.7652,0.5000,0.5000,14.70
13628,0.00,13.60,100,1480,0.46,3.58,11.28,10.59,0.00,7,15.10,0.99,14.62,0.46,0.00,0.00,2.7565,0.5000,0.5000,14.70
13732,0.00,13.68,100,1446,0.46,3.58,11.28,10.59,0.00,7,15.20,0.99,14.62,0.46,0.00,0.00,2.7732,0.5000,0.5000,14.70
13836,0.00,13.68,100,1480,0.45,3.58,11.13,10.59,0.00,7,15.10,0.99,14.62,0.46,0.00,0.00,2.7705,0.5000,0.5000,14.70
13940,0.00,13.60,100,1460,0.45,3.58,11.13,10.59,0.00,7,15.10,0.99,14.62,0.46,0.00,0.00,2.7620,0.5000,0.5000,14.70
14044,0.00,13.68,100,1459,0.46,3.33,11.18,10.59,0.00,7,15.10,0.99,14.62,0.46,0.00,0.00,2.7695,0.5000,0.5000,14.70
14148,0.00,13.60,100,1445,0.46,3.58,11.18,10.59,0.00,7,15.10,0.99,14.62,0.46,0.00,0.00,2.7778,0.5000,0.5000,14.70
14252,0.00,13.60,100,1440,0.47,3.58,11.28,10.59,0.00,7,15.20,0.99,14.62,0.46,0.00,0.00,2.7902,0.5000,0.5000,14.70
14356,0.00,13.60,100,1434,0.46,3.58,11.13,10.59,0.00,7,15.20,0.99,14.62,0.46,0.00,0.00,2.7978,0.5000,0.5000,14.70
14460,0.00,13.60,100,1442,0.47,3.58,11.23,10.59,0.00,7,15.20,0.99,14.62,0.46,0.00,0.00,2.7953,0.5000,0.5000,14.70
14564,0.00,13.68,100,1436,0.46,3.58,11.23,10.59,0.00,7,15.10,0.99,14.62,0.47,0.00,0.00,2.7910,0.5000,0.5000,14.70
14668,0.00,13.60,100,1445,0.47,3.58,11.18,10.59,0.00,7,15.30,0.99,14.62,0.47,0.00,0.00,2.8000,0.5000,0.5000,14.70
14772,0.00,13.68,100,1439,0.46,3.58,11.23,10.59,0.00,7,15.20,0.99,14.62,0.47,0.00,0.00,2.8050,0.5000,0.5000,14.70
14876,0.00,13.68,100,1427,0.48,3.58,11.37,10.98,0.00,7,15.30,0.99,14.63,0.47,0.00,0.00,2.8415,0.5000,0.5000,14.70
14980,0.00,13.60,100,1413,0.48,3.58,11.37,10.98,0.00,7,15.40,0.99,14.62,0.47,0.00,0.00,2.8493,0.5000,0.5000,14.70
15083,0.00,13.68,100,1403,0.49,3.58,11.42,10.98,0.00,7,15.40,0.99,14.63,0.48,0.00,0.00,2.8862,0.5000,0.5000,14.70
15188,0.00,13.60,100,1413,0.48,3.58,11.42,10.98,0.00,7,15.60,0.99,14.63,0.49,0.00,0.00,2.9880,0.5000,0.5000,14.70
15292,0.00,13.60,100,1422,0.49,3.58,11.47,10.98,0.00,7,15.50,0.99,14.62,0.49,0.00,0.00,2.9635,0.5000,0.5000,14.70
15396,0.00,13.60,100,1410,0.49,3.58,11.47,10.98,0.00,7,15.50,0.99,14.63,0.49,0.00,0.00,2.9407,0.5000,0.5000,14.70
15499,0.00,13.60,100,1389,0.49,3.58,11.52,11.37,0.00,7,15.60,0.99,14.63,0.49,0.00,0.00,2.9948,0.5000,0.5000,14.70
15604,0.00,13.60,100,1404,0.50,3.58,11.42,11.37,0.00,7,15.70,0.99,14.63,0.49,0.00,0.00,2.9675,0.5000,0.5000,14.70
15708,0.00,13.68,100,1384,0.49,3.58,11.57,11.37,0.00,7,15.60,0.99,14.63,0.49,0.00,0.00,2.9743,0.5000,0.5000,14.70
15812,0.00,13.68,100,1417,0.50,3.84,11.67,11.37,0.00,7,15.80,1.00,14.63,0.50,0.00,0.00,3.0410,0.5000,0.5000,14.70
15916,0.00,13.60,100,1398,0.50,3.84,11.72,11.37,0.00,7,15.80,0.99,14.63,0.50,0.00,0.00,3.0478,0.5000,0.5000,14.70
16020,0.00,13.52,100,1419,0.50,3.84,11.67,11.37,0.00,7,15.80,0.99,14.63,0.13,0.00,0.00,3.0633,0.5000,0.5000,14.70
16124,0.00,13.60,100,1417,0.49,3.84,11.72,11.37,0.00,7,15.80,0.99,14.63,0.50,0.00,0.00,2.9998,0.5000,0.5000,14.70
16228,0.00,13.60,100,1376,0.51,3.84,11.72,11.37,0.00,7,16.00,0.99,14.63,0.13,0.00,0.00,3.0663,0.5000,0.5000,14.70
16332,0.00,13.60,100,1411,0.51,3.84,11.83,11.37,0.00,7,15.60,0.99,14.63,0.50,0.00,0.00,3.0845,0.5000,0.5000,14.70
16436,0.00,13.68,100,1400,0.51,3.84,11.88,11.37,0.00,7,15.80,0.99,14.63,0.50,0.00,0.00,3.0393,0.5000,0.5000,14.70
16540,0.00,13.60,100,1420,0.51,3.84,11.77,11.37,0.00,7,15.80,0.99,14.63,0.50,0.00,0.00,3.0460,0.5000,0.5000,14.70
16643,0.00,13.68,100,1408,0.50,3.84,11.88,11.37,0.00,7,15.70,0.99,14.63,0.50,0.00,0.00,3.0325,0.5000,0.5000,14.70
16749,0.00,13.60,100,1410,0.51,3.84,11.88,11.37,0.00,7,15.70,0.99,14.63,0.50,0.00,0.00,3.0465,0.5000,0.5000,14.70
16852,0.00,13.52,100,1409,0.50,3.84,11.83,11.76,0.00,7,15.80,0.99,14.63,0.50,0.00,0.00,3.0417,0.5000,0.5000,14.70
16956,0.00,13.60,100,1410,0.51,3.84,11.99,11.76,0.00,7,15.70,0.99,14.62,0.50,0.00,0.00,3.0295,0.5000,0.5000,14.70
