Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Learning Airflow Range (Current)* (offset),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),IAM (4-byte)* (multiplier),Mass Airflow (g/s),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Atmospheric Pressure (psi),CL/OL Fueling* (status),Closed Loop Fueling Target (4-byte)* (estimated AFR),Engine Load (4-Byte)* (g/rev),Engine Load (Calculated) (g/rev),Feedback Knock Correction (4-byte)* (degrees),Gear (Calculated)* (position),Intake Air Temperature (F),Intake VVT Advance Angle Right (degrees),Knock Correction Advance (degrees),Knock Sum* (count),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Final Fueling Base (4-byte)* (lambda),Ignition Total Timing (degrees)
3643,3.12,3.12,1,13.20,198,622,0.5000,3.53,15.30,14.36,8,14.69,0.31,0.34,0.00,1,129,0,0.00,4,8.42,3.92,1.00,19.00
3746,3.12,3.12,1,13.28,198,613,0.5000,3.51,15.30,14.36,8,14.69,0.32,0.36,0.00,1,129,0,0.00,4,8.56,5.49,1.00,20.00
3850,3.12,3.12,1,13.36,198,611,0.5000,3.96,15.10,14.36,8,14.69,0.34,0.42,0.00,1,129,0,0.00,4,9.00,5.10,0.85,20.50
3955,3.12,3.12,1,13.28,198,608,0.5000,4.26,15.00,14.36,8,14.69,0.36,0.41,0.00,1,129,0,0.00,4,9.29,5.10,0.90,20.50
4058,3.91,3.12,1,13.44,198,638,0.5000,4.20,15.10,14.36,8,14.69,0.37,0.40,0.00,1,129,0,0.00,4,9.43,5.10,0.99,18.50
4163,4.69,3.12,1,13.52,198,682,0.5000,4.18,15.30,14.36,8,14.69,0.37,0.37,0.00,1,129,0,0.00,4,9.43,5.10,0.99,16.50
4266,6.25,3.12,1,13.44,198,712,0.5000,4.15,15.70,14.36,8,14.69,0.37,0.35,0.00,1,129,0,0.00,4,9.43,4.71,1.00,14.00
4371,6.25,3.12,1,13.68,198,748,0.5000,4.10,15.80,14.36,8,14.69,0.36,0.34,0.00,1,129,0,0.00,4,9.14,4.71,1.00,12.50
4474,6.25,3.12,1,13.68,198,766,0.5000,4.07,15.90,14.36,8,14.69,0.35,0.32,0.00,1,129,0,0.00,4,9.00,4.71,1.00,12.00
4579,6.25,3.12,1,13.52,198,764,0.5000,4.12,15.70,14.36,8,14.69,0.34,0.32,0.00,1,129,0,0.00,4,8.85,4.71,1.00,12.00
4682,6.25,3.12,1,13.44,198,776,0.5000,4.15,15.70,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,8.71,4.71,1.00,12.00
4787,6.25,3.12,1,13.44,198,772,0.5000,4.20,15.30,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,8.56,4.71,1.00,12.00
4890,6.25,3.12,1,13.52,198,758,0.5000,4.26,15.20,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,8.56,4.71,1.00,12.00
4994,6.25,3.12,1,13.60,198,776,0.5000,4.31,15.30,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,8.42,4.71,1.00,13.00
5099,6.25,3.12,1,13.68,198,771,0.5000,4.31,15.10,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,8.42,4.71,1.00,13.00
5203,7.03,3.12,1,13.52,198,764,0.5000,4.34,15.10,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,8.27,4.71,1.00,13.00
5307,6.25,3.12,1,13.52,198,768,0.5000,4.37,15.10,14.36,8,14.69,0.34,0.34,0.00,1,129,0,0.00,4,8.27,4.71,1.00,14.50
5411,6.25,3.12,1,13.60,198,774,0.5000,4.37,15.00,14.36,8,14.69,0.34,0.34,0.00,1,129,0,0.00,4,8.27,5.10,1.00,14.00
5515,6.25,3.12,1,13.60,198,786,0.5000,4.48,14.90,14.36,8,14.69,0.34,0.34,0.00,1,129,0,0.00,4,8.27,5.10,1.00,12.50
5619,6.25,3.12,1,13.60,198,804,0.5000,4.23,14.80,14.36,8,14.69,0.33,0.32,0.00,1,129,0,0.00,4,8.13,4.31,1.00,12.50
5723,5.47,3.12,1,13.60,198,798,0.5000,3.96,14.80,14.36,8,14.69,0.32,0.30,0.00,1,129,0,0.00,4,7.84,4.31,1.00,12.50
5826,5.47,3.12,1,13.52,198,788,0.5000,3.96,15.00,14.36,8,14.69,0.31,0.30,0.00,1,129,0,0.00,4,7.69,5.10,1.00,13.00
5931,5.47,3.91,1,13.52,198,774,0.5000,4.29,14.50,14.36,8,14.69,0.32,0.34,0.00,1,129,0,0.00,4,7.84,5.10,1.00,15.50
6034,4.69,3.91,1,13.52,198,764,0.5000,4.48,14.40,14.36,8,14.69,0.33,0.35,0.00,1,129,0,0.00,4,7.84,5.10,1.00,16.00
6139,3.91,3.91,1,13.68,198,766,0.5000,4.65,14.30,14.36,8,14.69,0.34,0.36,0.00,1,129,0,0.00,4,7.98,5.49,1.00,16.00
6243,3.91,3.91,1,13.52,198,784,0.5000,4.76,14.10,14.36,8,14.69,0.34,0.37,0.00,1,129,0,0.00,4,8.13,5.49,1.00,16.00
6347,3.12,3.91,1,13.52,198,782,0.5000,4.83,14.10,14.36,8,14.69,0.35,0.37,0.00,1,129,0,0.00,4,8.27,5.49,1.00,15.50
6451,3.91,3.91,1,13.60,198,808,0.5000,4.83,14.10,14.36,8,14.69,0.35,0.36,0.00,1,129,0,0.00,4,8.42,5.49,1.00,14.50
6555,3.91,3.91,1,13.04,198,810,0.5000,4.80,14.10,14.36,8,14.69,0.36,0.36,0.00,1,129,0,0.00,4,8.42,5.49,1.00,14.00
6659,3.91,3.91,1,13.44,198,796,0.5000,4.80,14.40,14.36,8,14.69,0.36,0.36,0.00,1,129,0,0.00,4,8.56,5.10,1.00,14.50
6763,3.91,3.91,1,13.52,198,804,0.5000,4.73,14.40,14.36,8,14.69,0.35,0.36,0.00,1,129,0,0.00,4,8.56,4.71,1.00,16.00
6866,3.91,3.91,1,13.52,198,800,0.5000,4.43,14.50,14.36,8,14.69,0.35,0.33,0.00,1,129,0,0.00,4,8.42,4.31,1.00,14.50
6971,3.91,3.91,1,13.60,198,815,0.5000,4.29,14.60,14.36,8,14.69,0.34,0.32,0.00,1,129,0,0.00,4,8.27,4.71,1.00,15.00
7075,3.91,3.91,1,13.52,198,804,0.5000,4.31,14.60,14.36,8,14.69,0.33,0.32,0.00,1,129,0,0.00,4,8.27,4.71,1.00,16.00
7179,3.91,3.91,1,13.52,198,793,0.5000,4.31,14.70,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,8.13,4.71,1.00,16.00
7283,3.12,3.91,1,13.60,198,792,0.5000,4.34,14.50,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,8.13,4.71,1.00,16.50
7387,3.12,3.91,1,13.60,198,778,0.5000,4.31,14.60,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,8.13,4.71,1.00,16.50
7491,3.12,3.91,1,13.52,198,771,0.5000,4.29,14.50,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.98,4.71,1.00,16.50
7594,3.12,3.91,1,13.44,198,779,0.5000,4.29,14.50,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,7.98,4.71,1.00,16.50
7699,3.12,3.91,1,13.60,198,763,0.5000,4.29,14.50,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.84,4.31,1.00,16.50
7803,3.12,3.91,1,13.52,198,760,0.5000,4.29,14.50,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.84,4.31,1.00,16.50
7907,3.12,3.91,1,13.36,198,764,0.5000,4.15,14.50,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,7.84,4.31,1.00,17.00
8011,2.34,3.91,1,13.60,198,743,0.5000,4.10,14.50,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,7.69,4.31,1.00,17.50
8115,2.34,3.91,1,13.52,198,728,0.5000,4.10,14.50,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.69,4.31,1.00,18.00
8219,1.56,3.91,1,13.68,198,726,0.5000,4.10,14.40,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.69,4.31,1.00,18.50
8323,1.56,3.91,1,13.52,198,718,0.5000,4.07,14.40,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.69,4.31,1.00,19.50
8427,0.78,3.91,1,13.68,198,719,0.5000,4.04,14.20,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.69,4.31,1.00,19.50
8530,0.00,3.91,1,13.44,198,710,0.5000,3.99,14.20,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,7.69,4.31,1.00,19.00
8635,-0.78,3.91,1,13.60,198,704,0.5000,3.99,14.00,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.69,3.92,1.00,19.00
8739,-0.78,3.91,1,13.44,198,707,0.5000,3.99,14.10,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.84,4.31,1.00,19.50
8843,-1.56,3.91,1,13.60,198,705,0.5000,3.96,13.80,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.84,4.31,1.00,19.50
8947,-2.34,3.91,1,13.60,198,700,0.5000,3.93,13.80,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,7.84,4.31,1.00,18.50
9051,-3.12,3.91,1,13.44,198,699,0.5000,3.93,13.70,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.84,3.92,1.00,18.50
9155,-3.12,3.91,1,13.52,198,696,0.5000,3.88,13.60,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.84,3.92,1.00,19.00
9259,-3.91,3.91,1,13.44,198,700,0.5000,3.85,13.60,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,7.84,3.92,1.00,19.00
9363,-3.91,3.91,1,13.60,198,691,0.5000,3.83,13.70,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,7.69,3.92,1.00,19.00
9467,-4.69,3.91,1,13.44,198,681,0.5000,3.80,13.60,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,7.84,3.92,1.00,18.50
9571,-4.69,3.91,1,13.44,198,676,0.5000,3.80,13.50,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.69,3.92,1.00,19.00
9675,-4.69,3.91,1,13.60,198,671,0.5000,3.80,13.70,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.84,3.92,1.00,19.00
9779,-5.47,3.91,1,13.44,198,669,0.5000,3.80,13.70,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.84,3.92,1.00,20.00
9883,-5.47,3.91,1,13.44,198,665,0.5000,3.78,13.70,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.84,3.92,1.00,20.00
9987,-6.25,3.91,1,13.68,198,668,0.5000,3.75,13.70,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.84,3.92,1.00,19.50
10091,-6.25,3.91,1,13.52,198,663,0.5000,3.73,13.80,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,7.84,3.92,1.00,18.50
10196,-6.25,3.91,1,13.44,198,658,0.5000,3.73,13.90,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.98,3.92,1.00,18.50
10299,-6.25,3.91,1,13.52,198,661,0.5000,3.70,13.90,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.98,3.92,1.00,18.50
10403,-6.25,3.91,1,13.60,198,660,0.5000,3.70,13.90,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.84,3.92,1.00,18.50
10507,-7.03,3.91,1,13.52,198,662,0.5000,3.68,14.00,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,7.98,3.92,1.00,18.50
10611,-7.03,3.91,1,13.52,198,658,0.5000,3.68,14.00,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.98,3.92,1.00,19.00
10715,-7.03,3.91,1,13.52,198,657,0.5000,3.68,14.20,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.98,3.92,1.00,18.50
10819,-7.03,3.91,1,13.44,198,645,0.5000,3.66,14.20,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.98,3.92,1.00,18.50
10923,-7.03,3.91,1,13.44,198,642,0.5000,3.66,14.20,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.98,3.92,1.00,18.00
11028,-7.03,3.91,1,13.44,198,640,0.5000,3.63,14.20,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,7.98,3.92,1.00,18.50
11131,-7.03,3.91,1,13.52,198,636,0.5000,3.63,14.30,14.36,8,14.69,0.34,0.34,0.00,1,129,0,0.00,4,7.98,3.92,1.00,18.50
11235,-7.03,3.91,1,13.60,198,640,0.5000,3.63,14.30,14.36,8,14.69,0.34,0.34,0.00,1,129,0,0.00,4,8.13,3.92,1.00,18.50
11339,-7.03,3.91,1,13.44,198,640,0.5000,3.63,14.30,14.36,8,14.69,0.34,0.34,0.00,1,129,0,0.00,4,8.13,3.92,1.00,18.50
11443,-7.03,3.91,1,13.36,198,640,0.5000,3.61,14.40,14.36,8,14.69,0.34,0.34,0.00,1,129,0,0.00,4,8.13,3.92,1.00,18.50
11547,-7.03,3.91,1,13.52,198,637,0.5000,3.61,14.40,14.36,8,14.69,0.34,0.34,0.00,1,129,0,0.00,4,8.13,3.92,1.00,18.50
11651,-7.03,3.91,1,13.60,198,639,0.5000,3.58,14.50,14.36,8,14.69,0.34,0.34,0.00,1,129,0,0.00,4,8.13,3.92,1.00,18.00
11755,-7.03,3.91,1,13.52,198,629,0.5000,3.58,14.60,14.36,8,14.69,0.34,0.34,0.00,1,129,0,0.00,4,8.13,3.92,1.00,18.50
11859,-7.03,3.91,1,13.44,198,629,0.5000,3.58,14.50,14.36,8,14.69,0.34,0.34,0.00,1,129,0,0.00,4,8.13,3.92,1.00,17.50
11963,-7.03,3.91,1,13.36,198,633,0.5000,3.58,14.80,14.36,8,14.69,0.34,0.34,0.00,1,129,0,0.00,4,8.13,3.92,1.00,17.50
12067,-7.03,3.91,1,13.52,198,631,0.5000,3.58,14.80,14.36,8,14.69,0.34,0.34,0.00,1,129,0,0.00,4,8.27,3.92,1.00,17.00
12171,-7.03,3.91,1,13.68,198,636,0.5000,3.58,14.80,14.36,8,14.69,0.34,0.34,0.00,1,129,0,0.00,4,8.27,3.92,1.00,17.00
12275,-6.25,3.91,1,13.60,198,636,0.5000,3.58,14.70,14.36,8,14.69,0.34,0.34,0.00,1,129,0,0.00,4,8.27,3.92,1.00,17.00
12379,-6.25,3.91,1,13.44,198,641,0.5000,3.58,14.80,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,8.27,3.92,1.00,16.50
12483,-6.25,3.91,1,13.44,198,643,0.5000,3.58,14.90,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,8.27,3.92,1.00,16.50
12587,-5.47,3.91,1,13.52,198,650,0.5000,3.58,15.00,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,8.27,3.92,1.00,16.50
12691,-5.47,3.91,1,13.68,198,651,0.5000,3.56,15.20,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.50
12795,-5.47,3.91,1,13.44,198,643,0.5000,3.53,15.20,14.36,8,14.69,0.33,0.32,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.50
12899,-5.47,3.91,1,13.44,198,646,0.5000,3.56,15.10,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.50
13003,-5.47,3.91,1,13.44,198,642,0.5000,3.56,15.20,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.50
13107,-4.69,3.91,1,13.52,198,642,0.5000,3.56,15.30,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.50
13211,-4.69,3.91,1,13.60,198,638,0.5000,3.56,15.30,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,8.13,3.92,1.00,17.00
13315,-4.69,3.91,1,13.44,198,635,0.5000,3.56,15.20,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,8.13,3.92,1.00,17.00
13419,-4.69,3.91,1,13.36,198,635,0.5000,3.56,15.20,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,8.27,3.92,1.00,17.00
13523,-4.69,3.91,1,13.52,198,638,0.5000,3.56,15.40,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,8.27,3.92,1.00,16.50
13628,-3.91,3.91,1,13.60,198,638,0.5000,3.56,15.20,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,8.27,3.92,1.00,17.00
13731,-3.91,3.91,1,13.60,198,633,0.5000,3.56,15.30,14.36,8,14.69,0.33,0.34,0.00,1,129,0,0.00,4,8.27,3.92,1.00,16.50
13836,-3.91,3.91,1,13.44,198,640,0.5000,3.56,15.20,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,8.27,3.92,1.00,16.50
13939,-3.91,3.12,1,13.52,198,645,0.5000,3.56,15.30,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,8.27,3.92,1.00,16.50
14044,-3.12,3.12,1,13.52,198,645,0.5000,3.56,15.30,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,8.27,3.92,1.00,16.50
14147,-3.12,3.12,1,13.52,198,645,0.5000,3.56,15.30,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,8.27,3.92,1.00,16.50
14252,-3.12,3.12,1,13.44,198,654,0.5000,3.53,15.50,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,8.27,3.92,1.00,16.50
14355,-2.34,3.12,1,13.44,198,652,0.5000,3.56,15.40,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,8.27,3.92,1.00,16.50
14460,-2.34,3.12,1,13.68,198,661,0.5000,3.56,15.50,14.36,8,14.69,0.33,0.32,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.50
14564,-2.34,3.12,1,13.52,198,654,0.5000,3.56,15.30,14.36,8,14.69,0.33,0.33,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.50
14668,-2.34,3.12,1,13.44,198,656,0.5000,3.56,15.50,14.36,8,14.69,0.32,0.32,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.50
14772,-2.34,3.12,1,13.44,199,653,0.5000,3.56,15.40,14.36,8,14.69,0.32,0.33,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.50
14876,-1.56,3.12,1,13.60,199,650,0.5000,3.56,15.50,14.36,8,14.69,0.32,0.33,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.50
14980,-1.56,3.12,1,13.60,199,654,0.5000,3.56,15.30,14.36,8,14.69,0.32,0.33,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.50
15084,-1.56,3.12,1,13.52,199,659,0.5000,3.56,15.00,14.36,8,14.69,0.32,0.33,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.50
15188,-1.56,3.12,1,13.52,199,662,0.5000,3.56,15.20,14.36,8,14.69,0.32,0.32,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.50
15292,-1.56,3.12,1,13.52,199,664,0.5000,3.53,15.20,14.36,8,14.69,0.32,0.32,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.50
15396,-1.56,3.12,1,13.44,199,660,0.5000,3.56,15.20,14.36,8,14.69,0.32,0.32,0.00,1,129,0,0.00,4,8.13,4.31,1.00,16.50
15500,-1.56,3.12,1,13.44,199,661,0.5000,3.56,15.10,14.36,8,14.69,0.32,0.33,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.00
15603,-1.56,3.12,1,13.60,199,661,0.5000,3.58,15.10,14.36,8,14.69,0.32,0.32,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.00
15708,-1.56,3.12,1,13.52,199,668,0.5000,3.58,15.10,14.36,8,14.69,0.32,0.32,0.00,1,129,0,0.00,4,8.13,4.31,1.00,16.50
15812,-0.78,3.12,1,13.44,199,660,0.5000,3.61,15.00,14.36,8,14.69,0.32,0.33,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.50
15916,-0.78,3.12,1,13.52,199,654,0.5000,3.58,15.10,14.36,8,14.69,0.32,0.33,0.00,1,129,0,0.00,4,8.13,3.92,1.00,16.50
16021,-0.78,3.12,1,13.68,199,655,0.5000,3.61,15.00,14.36,8,14.69,0.32,0.33,0.00,1,129,0,0.00,4,8.13,4.31,1.00,16.50
16124,-0.78,3.12,1,13.52,199,656,0.5000,3.61,15.00,14.36,8,14.69,0.32,0.33,0.00,1,129,0,0.00,4,8.13,4.31,1.00,16.50
