Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),Atmospheric Pressure (psi),CL/OL Fueling* (status),Closed Loop Fueling Target (4-byte)* (estimated AFR),Coolant Temperature (F),Engine Load (4-Byte)* (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Ignition Total Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Right (degrees),Knock Correction Advance (degrees),Knock Sum* (count),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Throttle Opening Angle (%),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Fine Learning Knock Correction (4-byte)* (degrees),Fine Learning Table Offset* (index position),Ignition Base Timing* (degrees),Throttle Plate Opening Angle (4-byte)* (%),IAM (1-byte)** (multiplier)
3162,3.12,3.91,14.51,8,14.69,189,0.29,768,0.00,17.00,129,0,0.00,0,7.55,3.83,3.92,14.50,0.00,1,16.91,3.88,0.5000
3264,3.12,3.91,14.51,8,14.69,189,0.29,771,0.00,17.00,129,0,0.00,0,7.40,3.83,3.92,14.60,0.00,1,16.91,3.88,0.5000
3366,3.12,3.91,14.51,8,14.69,189,0.29,751,0.00,17.00,129,0,0.00,0,7.40,3.83,3.92,14.60,0.00,1,16.91,3.73,0.5000
3468,3.12,3.91,14.51,8,14.69,189,0.29,763,0.00,17.00,129,0,0.00,0,7.55,3.83,3.92,14.70,0.00,1,16.91,3.74,0.5000
3570,3.12,3.91,14.51,8,14.69,189,0.30,751,0.00,17.00,129,0,0.00,0,7.55,3.80,3.92,14.70,0.00,1,16.91,3.88,0.5000
3672,3.12,3.91,14.51,8,14.69,189,0.30,752,0.00,17.00,129,0,0.00,0,7.55,3.83,3.92,14.60,0.00,1,16.91,3.74,0.5000
3774,3.12,3.91,14.51,8,14.69,189,0.30,764,0.00,17.00,129,0,0.00,0,7.55,3.85,3.92,14.70,0.00,1,16.91,3.88,0.5000
3876,2.34,3.91,14.51,8,14.69,189,0.30,752,0.00,17.00,129,0,0.00,0,7.55,3.83,3.92,14.70,0.00,1,16.91,3.88,0.5000
3978,2.34,3.91,14.51,8,14.69,189,0.30,748,0.00,17.00,129,0,0.00,0,7.55,3.68,3.92,14.70,0.00,1,16.91,3.88,0.5000
4080,2.34,3.91,14.51,8,14.69,189,0.30,748,0.00,17.00,129,0,0.00,0,7.55,3.78,3.92,14.70,0.00,1,16.91,3.88,0.5000
4182,2.34,3.91,14.51,8,14.69,189,0.30,746,0.00,17.00,129,0,0.00,0,7.55,3.70,3.92,14.60,0.00,1,16.91,3.73,0.5000
4284,2.34,3.91,14.51,8,14.69,189,0.29,759,0.00,17.00,129,0,0.00,0,7.55,3.68,3.92,14.60,0.00,1,16.91,3.88,0.5000
4386,2.34,3.91,14.51,8,14.69,189,0.29,749,0.00,17.00,129,0,0.00,0,7.55,3.70,3.92,14.70,0.00,1,16.91,3.74,0.5000
4489,2.34,3.91,14.51,8,14.69,189,0.29,750,0.00,17.00,129,0,0.00,0,7.55,3.68,3.92,14.60,0.00,1,16.91,3.74,0.5000
4590,2.34,3.91,14.51,8,14.69,189,0.29,747,0.00,17.00,129,0,0.00,0,7.55,3.78,3.92,14.60,0.00,1,16.91,3.74,0.5000
4692,2.34,3.91,14.51,8,14.69,189,0.29,747,0.00,17.00,129,0,0.00,0,7.55,3.75,3.92,14.50,0.00,1,16.91,3.74,0.5000
4794,2.34,3.91,14.51,8,14.69,189,0.29,735,0.00,17.50,129,0,0.00,0,7.55,3.75,3.92,14.50,0.00,1,16.91,3.74,0.5000
4896,2.34,3.91,14.51,8,14.69,189,0.29,743,0.00,17.00,129,0,0.00,0,7.55,3.73,3.92,14.50,0.00,1,16.91,3.88,0.5000
4998,2.34,3.91,14.51,8,14.69,189,0.30,755,0.00,17.00,129,0,0.00,0,7.55,3.75,3.92,14.50,0.00,1,16.91,3.73,0.5000
5100,2.34,3.91,14.51,8,14.69,189,0.29,754,0.00,17.00,129,0,0.00,0,7.55,3.75,3.92,14.60,0.00,1,16.91,3.88,0.5000
5202,2.34,3.91,14.51,8,14.69,189,0.29,752,0.00,17.00,129,0,0.00,0,7.55,3.80,3.92,14.50,0.00,1,16.91,3.88,0.5000
5304,2.34,3.91,14.51,8,14.69,189,0.30,736,0.00,17.00,129,0,0.00,0,7.55,3.75,3.92,14.70,0.00,1,16.91,3.88,0.5000
5406,2.34,3.91,14.51,8,14.69,189,0.30,754,0.00,17.00,129,0,0.00,0,7.55,3.75,3.92,14.70,0.00,1,16.91,3.88,0.5000
5508,2.34,3.91,14.51,8,14.69,189,0.29,758,0.00,16.50,129,0,0.00,0,7.55,3.78,3.92,14.60,0.00,1,16.91,3.88,0.5000
5610,2.34,3.91,14.51,8,14.69,189,0.29,741,0.00,17.00,129,0,0.00,0,7.55,3.80,3.92,14.70,0.00,1,16.91,3.88,0.5000
5712,2.34,3.91,14.51,8,14.69,189,0.30,753,0.00,17.00,129,0,0.00,0,7.55,3.80,3.92,14.70,0.00,1,16.91,3.88,0.5000
5814,2.34,3.91,14.51,8,14.69,189,0.30,758,0.00,17.00,129,0,0.00,0,7.55,3.78,3.92,14.70,0.00,1,16.91,3.88,0.5000
5917,2.34,3.91,14.51,8,14.69,189,0.30,750,0.00,17.00,129,0,0.00,0,7.55,3.73,3.92,14.70,0.00,1,16.91,3.88,0.5000
6018,2.34,3.91,14.51,8,14.69,189,0.29,752,0.00,17.00,129,0,0.00,0,7.55,3.80,3.92,14.70,0.00,1,16.91,3.88,0.5000
6120,2.34,3.91,14.51,8,14.69,189,0.30,754,0.00,17.00,129,0,0.00,0,7.55,3.66,3.92,14.50,0.00,1,16.91,3.88,0.5000
6222,2.34,3.91,14.51,8,14.69,189,0.29,752,0.00,17.00,129,0,0.00,0,7.55,3.75,3.92,14.60,0.00,1,16.91,3.88,0.5000
6324,2.34,3.91,14.51,8,14.69,189,0.29,752,0.00,17.00,129,0,0.00,0,7.55,3.80,3.92,14.60,0.00,1,16.91,3.88,0.5000
6427,2.34,3.91,14.51,8,14.69,189,0.30,755,0.00,17.00,129,0,0.00,0,7.55,3.83,3.92,14.70,0.00,1,16.91,3.73,0.5000
6528,2.34,3.91,14.51,8,14.69,189,0.30,759,0.00,17.00,129,0,0.00,0,7.55,3.80,3.92,14.70,0.00,1,16.91,3.88,0.5000
6630,2.34,3.91,14.51,8,14.69,189,0.30,759,0.00,16.50,129,0,0.00,0,7.55,3.80,3.92,14.80,0.00,1,16.91,3.73,0.5000
6732,2.34,3.91,14.51,8,14.69,189,0.30,744,0.00,17.00,129,0,0.00,0,7.55,3.83,3.92,14.70,0.00,1,16.91,3.88,0.5000
6835,2.34,3.91,14.51,8,14.69,189,0.30,756,0.00,17.00,129,0,0.00,0,7.55,3.83,3.92,14.70,0.00,1,16.91,3.88,0.5000
6936,2.34,3.91,14.51,8,14.69,189,0.30,767,0.00,16.50,129,0,0.00,0,7.55,3.85,3.92,14.80,0.00,1,16.91,3.88,0.5000
7039,2.34,3.91,14.51,8,14.69,189,0.30,748,0.00,17.00,129,0,0.00,0,7.55,3.90,3.92,14.70,0.00,1,16.91,3.88,0.5000
7140,2.34,3.91,14.51,8,14.69,189,0.30,756,0.00,17.00,129,0,0.00,0,7.55,3.80,3.92,14.70,0.00,1,16.91,3.88,0.5000
7243,2.34,3.91,14.51,8,14.69,189,0.30,765,0.00,16.50,129,0,0.00,0,7.55,3.73,3.92,14.80,0.00,1,16.91,3.88,0.5000
7345,2.34,3.91,14.51,8,14.69,189,0.30,760,0.00,16.50,129,0,0.00,0,7.55,3.80,3.92,14.90,0.00,1,16.91,3.88,0.5000
7447,2.34,3.91,14.51,8,14.69,189,0.29,762,0.00,17.00,129,0,0.00,0,7.55,3.85,3.92,14.70,0.00,1,16.91,3.88,0.5000
7549,2.34,3.91,14.51,8,14.69,189,0.30,770,0.00,16.50,129,0,0.00,0,7.55,3.85,3.92,14.80,0.00,1,16.91,3.88,0.5000
7651,2.34,3.91,14.51,8,14.69,189,0.29,772,0.00,16.50,129,0,0.00,0,7.40,3.75,3.92,14.70,0.00,1,16.91,3.73,0.5000
7753,1.56,3.91,14.51,8,14.69,189,0.29,762,0.00,17.00,129,0,0.00,0,7.40,3.78,3.92,14.70,0.00,1,16.91,3.88,0.5000
7854,1.56,3.91,14.51,8,14.69,189,0.29,765,0.00,17.00,129,0,0.00,0,7.40,3.80,3.92,14.80,0.00,1,16.91,3.88,0.5000
7956,1.56,3.91,14.51,8,14.69,189,0.29,765,0.00,17.00,129,0,0.00,0,7.40,3.80,3.92,14.50,0.00,1,16.91,3.88,0.5000
8059,1.56,3.91,14.51,8,14.69,189,0.29,766,0.00,17.00,129,0,0.00,0,7.40,3.85,3.92,14.60,0.00,1,16.91,3.88,0.5000
8160,1.56,3.91,14.51,8,14.69,189,0.29,769,0.00,17.00,129,0,0.00,0,7.40,3.83,3.92,14.60,0.00,1,16.91,3.88,0.5000
8263,1.56,4.69,14.51,8,14.69,189,0.29,759,0.00,17.00,129,0,0.00,0,7.40,3.80,3.92,14.50,0.00,1,16.91,3.88,0.5000
8365,1.56,4.69,14.51,8,14.69,189,0.29,756,0.00,17.00,129,0,0.00,0,7.40,3.83,3.92,14.60,0.00,1,16.91,3.88,0.5000
8467,1.56,4.69,14.51,8,14.69,189,0.30,758,0.00,17.00,129,0,0.00,0,7.40,3.85,3.92,14.50,0.00,1,16.91,3.88,0.5000
8569,1.56,4.69,14.51,8,14.69,189,0.30,764,0.00,17.00,129,0,0.00,0,7.40,3.78,3.92,14.60,0.00,1,16.91,3.88,0.5000
8671,1.56,4.69,14.51,8,14.69,189,0.29,758,0.00,17.00,129,0,0.00,0,7.55,3.80,3.92,14.60,0.00,1,16.91,3.88,0.5000
8773,1.56,4.69,14.51,8,14.69,189,0.29,752,0.00,17.00,129,0,0.00,0,7.55,3.80,3.92,14.60,0.00,1,16.91,3.88,0.5000
8875,1.56,4.69,14.51,8,14.69,189,0.29,760,0.00,17.00,129,0,0.00,0,7.55,3.83,3.92,14.60,0.00,1,16.91,3.88,0.5000
8977,1.56,4.69,14.51,8,14.69,189,0.29,766,0.00,17.00,129,0,0.00,0,7.55,3.88,3.92,14.70,0.00,1,16.91,3.88,0.5000
9079,1.56,4.69,14.51,8,14.69,189,0.30,754,0.00,17.00,129,0,0.00,0,7.55,3.80,3.92,14.70,0.00,1,16.91,3.88,0.5000
9181,1.56,4.69,14.51,8,14.69,189,0.30,756,0.00,17.00,129,0,0.00,0,7.55,3.78,3.92,14.70,0.00,1,16.91,3.88,0.5000
9282,1.56,4.69,14.51,8,14.69,189,0.30,759,0.00,17.00,129,0,0.00,0,7.55,4.01,3.92,14.70,0.00,1,16.91,5.48,0.5000
9385,1.56,4.69,14.51,8,14.69,189,0.30,750,0.00,17.00,129,0,0.00,0,7.98,4.53,5.88,14.70,0.00,1,16.91,5.33,0.5000
9487,1.56,4.69,14.51,8,14.69,189,0.32,745,0.00,17.00,129,0,0.00,0,8.27,4.71,5.49,14.60,0.00,1,16.91,5.19,0.5000
9589,1.56,4.69,14.51,8,14.69,189,0.33,779,0.00,17.00,129,0,0.00,0,8.56,4.65,5.49,14.70,0.00,1,16.91,5.04,0.5000
9690,1.56,4.69,14.51,8,14.69,189,0.34,810,0.00,14.00,129,0,0.00,0,8.71,4.59,5.49,14.50,0.00,1,16.91,5.19,0.5000
9793,2.34,4.69,14.51,8,14.69,189,0.34,784,0.00,16.50,129,0,0.00,0,8.71,4.70,5.49,14.60,0.00,1,16.91,5.19,0.5000
9895,3.12,4.69,14.51,8,14.69,189,0.35,790,0.00,16.50,129,0,0.00,0,8.71,4.76,5.49,14.80,0.00,1,16.91,5.04,0.5000
9997,3.12,4.69,14.51,8,14.69,189,0.35,782,0.00,16.50,129,0,0.00,0,8.85,4.82,5.49,15.00,0.00,1,16.91,5.19,0.5000
10099,3.91,4.69,14.51,8,14.69,189,0.36,776,0.00,16.50,129,0,0.00,0,8.85,4.87,5.49,15.30,0.00,1,16.91,5.19,0.5000
10201,4.69,4.69,14.51,8,14.69,189,0.36,798,0.00,16.50,129,0,0.00,0,8.85,4.87,5.49,15.30,0.00,1,16.91,5.19,0.5000
10303,5.47,4.69,14.51,8,14.69,189,0.36,792,0.00,16.50,129,0,0.00,0,9.00,4.93,5.49,15.60,0.00,1,16.91,5.34,0.5000
10405,5.47,4.69,14.51,8,14.69,189,0.37,794,0.00,16.50,129,0,0.00,0,9.00,4.93,5.49,15.50,0.00,1,16.91,5.33,0.5000
10507,5.47,4.69,14.51,8,14.69,189,0.37,807,0.00,16.00,129,0,0.00,0,9.00,5.01,5.49,15.70,0.00,1,16.91,5.33,0.5000
10609,6.25,4.69,14.51,8,14.69,189,0.37,796,0.00,16.00,129,0,0.00,0,9.00,5.01,5.49,15.60,0.00,1,16.91,5.33,0.5000
10711,5.47,4.69,14.51,8,14.69,189,0.37,802,0.00,16.00,129,0,0.00,0,9.00,5.01,5.49,15.50,0.00,1,16.91,5.33,0.5000
10813,5.47,4.69,14.51,8,14.69,189,0.37,815,0.00,15.50,129,0,0.00,0,9.00,5.03,5.49,15.40,0.00,1,16.91,5.33,0.5000
10915,6.25,4.69,14.51,8,14.69,189,0.37,812,0.00,15.00,129,0,0.00,0,9.00,5.03,5.49,15.40,0.00,1,16.91,5.33,0.5000
11017,5.47,4.69,14.51,8,14.69,189,0.37,821,0.00,16.00,129,0,0.00,0,9.00,5.03,5.49,15.20,0.00,1,16.91,5.33,0.5000
11119,5.47,4.69,14.51,8,14.69,189,0.37,826,0.00,15.50,129,0,0.00,0,9.00,5.09,5.49,15.10,0.00,1,16.91,5.33,0.5000
11221,5.47,4.69,14.51,8,14.69,189,0.37,816,0.00,16.00,129,0,0.00,0,9.00,5.16,5.49,15.00,0.00,1,16.91,5.33,0.5000
11324,5.47,4.69,14.51,8,14.69,189,0.37,828,0.00,15.50,129,0,0.00,0,9.00,5.18,5.49,14.80,0.00,1,16.91,5.33,0.5000
11425,5.47,4.69,14.51,8,14.69,189,0.37,830,0.00,15.50,129,0,0.00,0,9.00,5.14,5.88,14.80,0.00,1,16.91,5.33,0.5000
11527,5.47,4.69,14.51,8,14.69,189,0.37,836,0.00,16.00,129,0,0.00,0,9.00,5.18,5.49,14.70,0.00,1,16.91,5.33,0.5000
11629,5.47,4.69,14.51,8,14.69,189,0.37,824,0.00,16.00,129,0,0.00,0,9.00,5.18,5.49,14.60,0.00,1,16.91,5.33,0.5000
11731,4.69,4.69,14.51,8,14.69,189,0.37,834,0.00,16.00,129,0,0.00,0,9.00,2.58,5.49,14.40,0.00,1,16.91,5.33,0.5000
11833,4.69,4.69,14.51,8,14.68,189,0.37,851,0.00,14.50,129,0,0.00,0,8.85,5.14,5.49,14.50,0.00,1,16.91,5.33,0.5000
11935,4.69,4.69,14.51,8,14.68,189,0.37,845,0.00,15.50,129,0,0.00,0,8.85,5.14,5.49,14.50,0.00,1,16.91,5.48,0.5000
12037,4.69,4.69,14.51,8,14.68,189,0.37,856,0.00,15.00,129,0,0.00,0,8.85,5.16,5.49,14.40,0.00,1,16.91,5.33,0.5000
12139,4.69,4.69,14.51,8,14.68,189,0.36,859,0.00,14.50,129,0,0.00,0,8.85,5.23,5.49,14.40,0.00,1,16.91,5.33,0.5000
12241,4.69,4.69,14.51,8,14.68,189,0.36,863,0.00,16.00,129,0,0.00,0,8.85,5.18,5.49,14.50,0.00,1,16.91,5.33,0.5000
12343,3.91,4.69,14.51,8,14.68,189,0.36,855,0.00,15.00,129,0,0.00,0,8.71,5.30,5.49,14.40,0.00,1,16.91,5.33,0.5000
12445,3.91,4.69,14.51,8,14.68,189,0.37,853,0.00,16.00,129,0,0.00,0,8.71,5.23,5.88,14.60,0.00,1,16.91,5.33,0.5000
12547,3.91,4.69,14.51,8,14.68,189,0.37,853,0.00,16.00,129,0,0.00,0,8.71,5.25,5.88,14.50,0.00,1,16.91,5.33,0.5000
12649,3.91,4.69,14.51,8,14.68,189,0.37,871,0.00,16.00,129,0,0.00,0,8.71,5.25,5.49,14.50,0.00,1,16.91,5.33,0.5000
12752,3.91,4.69,14.51,8,14.68,189,0.36,872,0.00,15.50,129,0,0.00,0,8.71,5.23,5.49,14.50,0.00,1,16.91,5.48,0.5000
12853,3.91,4.69,14.51,8,14.68,189,0.36,876,0.00,15.00,129,0,0.00,0,8.71,5.18,5.49,14.40,0.00,1,16.91,5.33,0.5000
12956,3.91,4.69,14.51,8,14.67,189,0.36,892,0.00,14.00,129,0,0.00,0,8.56,5.25,5.49,14.40,0.00,1,16.91,5.33,0.5000
13057,3.91,4.69,14.51,8,14.68,189,0.36,874,0.00,16.00,129,0,0.00,0,8.56,5.25,5.49,14.50,0.00,1,16.91,5.33,0.5000
13159,3.12,4.69,14.51,8,14.67,189,0.36,883,0.00,15.50,129,0,0.00,0,8.56,5.21,5.49,14.50,0.00,1,16.91,5.33,0.5000
13262,3.12,4.69,14.51,8,14.68,189,0.36,876,0.00,16.00,129,0,0.00,0,8.56,5.21,5.49,14.40,0.00,1,16.91,5.33,0.5000
13363,3.12,4.69,14.51,8,14.67,189,0.36,890,0.00,15.50,129,0,0.00,0,8.42,5.25,5.49,14.40,0.00,1,16.91,5.33,0.5000
13465,3.12,4.69,14.51,8,14.68,189,0.35,876,0.00,16.50,129,0,0.00,0,8.56,5.25,5.49,14.50,0.00,1,16.91,5.33,0.5000
13568,3.12,4.69,14.51,8,14.67,189,0.35,888,0.00,16.00,129,0,0.00,0,8.42,5.21,5.49,14.40,0.00,1,16.91,5.33,0.5000
13669,3.12,4.69,14.51,8,14.67,189,0.35,884,0.00,16.50,129,0,0.00,0,8.42,5.23,5.49,14.40,0.00,1,16.91,5.33,0.5000
13772,2.34,4.69,14.51,8,14.67,189,0.35,892,0.00,16.00,129,0,0.00,0,8.42,5.21,5.49,14.40,0.00,1,16.91,5.33,0.5000
13873,2.34,4.69,14.51,8,14.67,189,0.35,884,0.00,16.50,129,0,0.00,0,8.42,5.25,5.49,14.40,0.00,1,16.91,5.33,0.5000
13975,2.34,4.69,14.51,8,14.68,189,0.35,876,0.00,16.50,129,0,0.00,0,8.42,5.16,5.49,14.40,0.00,1,16.91,5.33,0.5000
14078,2.34,4.69,14.51,8,14.68,189,0.35,877,0.00,16.50,129,0,0.00,0,8.42,5.11,5.49,14.40,0.00,1,16.91,5.33,0.5000
14179,2.34,4.69,14.51,8,14.67,189,0.35,889,0.00,16.50,129,0,0.00,0,8.42,5.06,5.49,14.40,0.00,1,16.91,5.19,0.5000
14282,2.34,4.69,14.51,8,14.68,189,0.35,865,0.00,17.00,129,0,0.00,0,8.42,5.09,5.49,14.30,0.00,1,16.91,5.19,0.5000
14384,1.56,4.69,14.51,8,14.67,189,0.35,884,0.00,16.50,129,0,0.00,0,8.42,5.14,5.49,14.40,0.00,1,16.91,5.34,0.5000
14485,1.56,4.69,14.51,8,14.68,189,0.35,865,0.00,17.00,129,0,0.00,0,8.42,5.14,5.49,14.40,0.00,1,16.91,5.19,0.5000
14588,1.56,4.69,14.51,8,14.68,189,0.35,872,0.00,17.00,129,0,0.00,0,8.42,5.16,5.49,14.40,0.00,1,16.91,5.19,0.5000
14689,1.56,4.69,14.51,8,14.68,189,0.35,858,0.00,17.00,129,0,0.00,0,8.42,5.14,5.49,14.40,0.00,1,16.91,5.19,0.5000
14791,1.56,4.69,14.51,8,14.68,189,0.35,860,0.00,17.00,129,0,0.00,0,8.42,5.16,5.49,14.40,0.00,1,16.91,5.19,0.5000
14894,1.56,4.69,14.51,8,14.68,189,0.36,856,0.00,17.00,129,0,0.00,0,8.42,5.09,5.49,14.50,0.00,1,16.91,5.19,0.5000
14995,1.56,4.69,14.51,8,14.68,189,0.35,863,0.00,17.00,129,0,0.00,0,8.42,4.98,5.49,14.50,0.00,1,16.91,5.19,0.5000
15098,1.56,4.69,14.51,8,14.68,189,0.35,846,0.00,17.00,129,0,0.00,0,8.42,5.09,5.49,14.50,0.00,1,16.91,5.19,0.5000
15200,1.56,4.69,14.51,8,14.68,189,0.35,858,0.00,17.00,129,0,0.00,0,8.42,5.06,5.49,14.40,0.00,1,16.91,5.19,0.5000
15301,1.56,4.69,14.51,8,14.68,189,0.35,852,0.00,17.00,129,0,0.00,0,8.42,5.06,5.49,14.50,0.00,1,16.91,5.04,0.5000
15404,1.56,4.69,14.51,8,14.68,189,0.35,850,0.00,17.50,129,0,0.00,0,8.42,5.09,5.49,14.50,0.00,1,16.91,5.19,0.5000
15505,1.56,4.69,14.51,8,14.68,189,0.36,846,0.00,17.00,129,0,0.00,0,8.42,5.03,5.49,14.40,0.00,1,16.91,5.19,0.5000
15608,0.78,4.69,14.51,8,14.68,189,0.36,844,0.00,17.00,129,0,0.00,0,8.42,5.06,5.49,14.60,0.00,1,16.91,5.19,0.5000
15710,0.78,4.69,14.51,8,14.68,189,0.36,852,0.00,17.00,129,0,0.00,0,8.42,5.09,5.49,14.50,0.00,1,16.91,5.19,0.5000
15811,0.78,4.69,14.51,8,14.69,189,0.36,828,0.00,18.00,129,0,0.00,0,8.56,5.06,5.49,14.50,0.00,1,16.91,5.04,0.5000
15914,0.78,4.69,14.51,8,14.69,189,0.36,832,0.00,17.50,129,0,0.00,0,8.56,5.01,5.49,14.60,0.00,1,16.91,5.04,0.5000
16015,0.78,4.69,14.51,8,14.69,189,0.36,831,0.00,17.50,129,0,0.00,0,8.56,4.98,5.49,14.60,0.00,1,16.91,5.04,0.5000
16117,0.78,4.69,14.51,8,14.69,189,0.36,839,0.00,17.50,129,0,0.00,0,8.56,4.98,5.49,14.50,0.00,1,16.91,5.04,0.5000
16220,0.78,4.69,14.51,8,14.68,189,0.36,838,0.00,17.00,129,0,0.00,0,8.56,4.93,5.49,14.50,0.00,1,16.91,5.04,0.5000
16321,0.78,4.69,14.51,8,14.69,189,0.36,833,0.00,17.00,129,0,0.00,0,8.56,4.95,5.49,14.50,0.00,1,16.91,5.04,0.5000
