Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Learning Airflow Range (Current)* (offset),Atmospheric Pressure (psi),Battery Voltage (V),CL/OL Fueling* (status),Closed Loop Fueling Target (4-byte)* (estimated AFR),Coolant Temperature (F),Engine Load (4-Byte)* (g/rev),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Final Fueling Base (4-byte)* (lambda),Gear (Calculated)* (position),IAM (4-byte)* (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Intake VVT Advance Angle Right (degrees),Knock Correction Advance (degrees),Knock Sum* (count),Manifold Absolute Pressure (psi),Mass Airflow (g/s),Throttle Opening Angle (%),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
10818,16.41,0.00,1,14.51,13.92,8,14.70,162,0.28,0.27,912,0.00,1.00,0,0.5000,15.00,95,0,0.00,1,7.40,4.22,4.71,14.90
10921,15.62,0.00,1,14.51,13.84,8,14.69,162,0.27,0.27,932,0.00,1.00,0,0.5000,14.50,95,0,0.00,1,7.40,4.18,4.71,15.00
11025,15.62,0.00,1,14.51,13.84,8,14.70,162,0.27,0.28,915,0.00,1.00,0,0.5000,16.00,95,0,0.00,1,7.40,4.28,4.71,14.80
11129,15.62,0.00,1,14.51,13.92,8,14.69,162,0.27,0.28,916,0.00,1.00,0,0.5000,15.50,95,0,0.00,1,7.25,4.25,4.71,14.80
11233,15.62,0.00,1,14.51,14.00,8,14.70,162,0.27,0.27,915,0.00,1.00,0,0.5000,16.50,95,0,0.00,1,7.25,4.06,4.71,15.20
11338,14.84,0.00,1,14.51,13.92,8,14.69,162,0.27,0.26,919,0.00,1.00,0,0.5000,16.00,95,0,0.00,1,7.25,3.97,4.71,14.50
11442,14.84,0.00,1,14.51,13.92,8,14.69,162,0.27,0.26,927,0.00,1.00,0,0.5000,16.00,95,0,0.00,1,7.25,3.94,4.71,14.50
11546,14.84,0.00,1,14.51,13.92,8,14.69,162,0.26,0.26,924,0.00,1.00,0,0.5000,15.50,95,0,0.00,1,7.25,4.06,4.71,14.40
11649,14.06,0.00,1,14.51,13.92,8,14.69,162,0.26,0.27,927,0.00,1.00,0,0.5000,15.50,95,0,0.00,1,7.25,4.12,4.71,14.40
11754,14.06,0.00,1,14.51,14.00,8,14.70,162,0.26,0.26,927,0.00,1.00,0,0.5000,16.50,95,0,0.00,1,7.11,4.00,4.71,14.40
11858,14.06,0.00,1,14.51,14.00,8,14.70,162,0.26,0.26,910,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.11,4.00,4.71,14.30
11962,14.06,0.00,1,14.51,13.92,8,14.70,162,0.26,0.26,920,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.11,3.94,4.71,14.40
12066,14.06,0.00,1,14.51,13.92,8,14.70,162,0.26,0.25,906,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.11,3.76,4.71,14.40
12169,14.06,0.00,1,14.51,13.84,8,14.69,162,0.25,0.26,912,0.00,1.00,0,0.5000,16.50,95,0,0.00,1,7.11,3.97,4.71,14.40
12274,14.06,0.00,1,14.51,14.00,8,14.70,162,0.25,0.27,913,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.11,4.00,4.71,14.50
12378,14.06,0.00,1,14.51,14.00,8,14.70,162,0.26,0.27,893,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.11,4.00,4.71,14.50
12482,14.06,0.00,1,14.51,14.00,8,14.70,162,0.26,0.27,892,0.00,1.00,0,0.5000,17.50,95,0,0.00,1,7.11,4.09,4.71,14.50
12586,14.06,0.00,1,14.51,14.00,8,14.70,162,0.26,0.27,884,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.11,4.06,4.71,14.50
12690,14.06,0.00,1,14.51,13.84,8,14.70,162,0.26,0.26,897,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.11,3.79,4.71,14.50
12794,13.28,0.00,1,14.51,13.92,8,14.70,162,0.26,0.25,889,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.11,3.76,4.71,14.50
12898,13.28,0.00,1,14.51,13.92,8,14.70,162,0.26,0.26,910,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.11,3.94,4.71,14.60
13002,13.28,0.00,1,14.51,13.92,8,14.70,162,0.26,0.25,886,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.11,3.79,4.71,14.50
13106,13.28,0.00,1,14.51,13.92,8,14.70,162,0.26,0.25,877,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.11,3.79,4.71,14.60
13210,13.28,0.00,1,14.51,13.92,8,14.70,162,0.25,0.26,887,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.11,3.76,4.71,14.60
13314,13.28,0.00,1,14.51,13.92,8,14.71,162,0.25,0.26,868,0.00,1.00,0,0.5000,17.50,95,0,0.00,1,7.11,3.76,4.71,14.50
13418,13.28,0.00,1,14.51,13.92,8,14.71,162,0.25,0.26,873,0.00,1.00,0,0.5000,18.00,95,0,0.00,1,7.11,3.79,4.71,14.60
13522,13.28,0.00,1,14.51,13.92,8,14.71,162,0.25,0.27,859,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.25,3.94,4.71,14.60
13626,14.06,0.00,1,14.51,13.92,8,14.71,162,0.26,0.27,874,0.00,1.00,0,0.5000,17.50,95,0,0.00,1,7.25,3.87,4.71,14.50
13730,14.06,0.00,1,14.51,13.92,8,14.71,162,0.26,0.26,854,0.00,1.00,0,0.5000,17.50,95,0,0.00,1,7.25,3.81,4.71,14.70
13834,14.06,0.00,1,14.51,13.92,8,14.71,162,0.26,0.27,861,0.00,1.00,0,0.5000,17.50,95,0,0.00,1,7.25,3.91,4.71,14.70
13938,14.84,0.00,1,14.51,14.00,8,14.71,162,0.26,0.27,847,0.00,1.00,0,0.5000,17.50,95,0,0.00,1,7.25,3.87,4.71,14.80
14042,14.84,0.00,1,14.51,13.92,8,14.71,162,0.26,0.26,860,0.00,1.00,0,0.5000,18.00,95,0,0.00,1,7.25,3.72,4.71,15.00
14146,14.84,0.00,1,14.51,14.00,8,14.71,162,0.26,0.27,847,0.00,1.00,0,0.5000,17.50,95,0,0.00,1,7.25,3.76,4.71,15.00
14250,14.84,0.00,1,14.51,13.92,8,14.71,162,0.26,0.26,844,0.00,1.00,0,0.5000,18.00,95,0,0.00,1,7.25,3.72,4.71,15.00
14354,14.84,0.00,1,14.51,13.92,8,14.71,162,0.26,0.27,834,0.00,1.00,0,0.5000,17.50,95,0,0.00,1,7.40,3.76,4.71,15.00
14458,14.84,0.00,1,14.51,13.92,8,14.71,162,0.26,0.26,846,0.00,1.00,0,0.5000,17.50,95,0,0.00,1,7.40,3.74,4.71,15.00
14562,14.84,0.00,1,14.51,13.92,8,14.71,162,0.26,0.26,851,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.40,3.77,4.71,14.90
14666,14.84,0.00,1,14.51,13.92,8,14.71,162,0.26,0.27,849,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.40,3.76,4.71,14.90
14770,15.62,0.00,1,14.51,14.00,8,14.71,162,0.26,0.27,850,0.00,1.00,0,0.5000,18.00,95,0,0.00,1,7.40,3.72,4.71,15.10
14874,15.62,0.00,1,14.51,13.92,8,14.71,162,0.26,0.27,832,0.00,1.00,0,0.5000,17.50,95,0,0.00,1,7.40,3.79,4.71,14.80
14978,15.62,0.00,1,14.51,13.92,8,14.71,162,0.26,0.26,853,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.40,3.68,4.71,15.00
15082,15.62,0.00,1,14.51,14.00,8,14.71,162,0.26,0.26,850,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.40,3.77,4.71,15.10
15186,15.62,0.00,1,14.51,13.92,8,14.71,162,0.26,0.27,857,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.40,3.94,4.71,15.00
15290,16.41,0.00,1,14.51,14.00,8,14.71,162,0.26,0.27,858,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.40,3.76,4.71,15.00
15394,16.41,0.00,1,14.51,13.92,8,14.70,162,0.26,0.26,876,0.00,1.00,0,0.5000,16.50,95,0,0.00,1,7.25,3.79,4.71,15.00
15498,16.41,0.00,1,14.51,13.92,8,14.71,162,0.26,0.26,860,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.25,3.76,4.71,14.90
15602,16.41,0.00,1,14.51,14.00,8,14.71,162,0.26,0.27,850,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.25,3.79,4.71,14.90
15706,16.41,0.00,1,14.51,14.00,8,14.71,162,0.26,0.27,852,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.40,3.76,4.71,14.90
15810,16.41,0.00,1,14.51,14.00,8,14.71,162,0.26,0.27,854,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.40,3.81,4.71,14.90
15914,17.19,0.00,1,14.51,13.92,8,14.71,162,0.26,0.28,835,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.40,3.91,4.71,15.00
16019,17.19,0.00,1,14.51,13.92,8,14.71,162,0.27,0.28,771,0.00,1.00,0,0.5000,17.50,95,0,0.00,1,7.40,3.94,4.71,15.00
16122,17.19,0.00,1,14.51,13.92,8,14.71,162,0.27,0.29,838,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.40,3.94,4.71,14.90
16226,17.19,0.00,1,14.51,13.84,8,14.71,162,0.27,0.28,833,0.00,1.00,0,0.5000,17.00,95,0,0.00,1,7.55,3.91,4.71,14.90
