Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Learning #1 A (Stored)* (%),A/F Learning #1 B (Stored)* (%),A/F Learning #1 C (Stored)* (%),A/F Learning #1 D (Stored)* (%),A/F Learning Airflow Range (Current)* (offset),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),IAM (4-byte)* (multiplier),Mass Airflow (g/s),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
4276,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,696,0.5000,3.05,14.70
4351,0.78,2.34,2.10,0.00,0.00,0.00,1,13.92,189,697,0.5000,3.05,14.70
4426,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,708,0.5000,3.03,14.90
4501,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,712,0.5000,3.03,14.70
4576,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,699,0.5000,3.03,14.70
4651,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,700,0.5000,3.05,14.70
4726,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,695,0.5000,3.03,14.80
4801,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,694,0.5000,3.05,14.80
4876,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,694,0.5000,3.03,14.80
4951,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,696,0.5000,3.03,14.80
5026,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,705,0.5000,3.03,14.90
5101,0.78,2.34,2.10,0.00,0.00,0.00,1,13.52,189,706,0.5000,3.03,14.70
5176,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,709,0.5000,3.03,14.80
5251,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,705,0.5000,3.03,14.80
5326,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,706,0.5000,3.03,14.80
5401,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,713,0.5000,3.03,14.70
5476,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,713,0.5000,3.03,14.80
5552,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,716,0.5000,3.03,14.80
5626,0.78,2.34,2.10,0.00,0.00,0.00,1,13.92,189,711,0.5000,3.03,14.80
5701,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,727,0.5000,3.03,14.80
5776,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,729,0.5000,3.03,14.80
5851,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,734,0.5000,3.05,14.80
5926,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,732,0.5000,3.03,14.90
6001,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,711,0.5000,3.03,14.90
6076,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,706,0.5000,3.03,14.80
6151,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,698,0.5000,3.05,14.80
6228,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,701,0.5000,3.05,14.80
6301,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,701,0.5000,3.05,14.80
6377,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,714,0.5000,3.07,14.90
6451,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,716,0.5000,3.03,14.90
6526,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,714,0.5000,3.05,15.00
6602,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,708,0.5000,3.03,14.80
6676,0.78,2.34,2.10,0.00,0.00,0.00,1,13.92,189,714,0.5000,3.05,14.80
6751,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,709,0.5000,3.03,14.80
6826,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,710,0.5000,3.03,14.80
6902,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,714,0.5000,3.05,14.70
6977,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,708,0.5000,3.03,14.70
7051,0.78,2.34,2.10,0.00,0.00,0.00,1,13.92,189,709,0.5000,3.05,14.70
7126,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,715,0.5000,3.07,14.80
7201,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,728,0.5000,3.03,14.80
7277,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,720,0.5000,3.03,14.80
7351,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,722,0.5000,3.03,14.80
7427,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,720,0.5000,3.05,14.90
7501,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,718,0.5000,3.03,14.70
7576,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,730,0.5000,3.03,14.80
7651,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,725,0.5000,3.03,14.80
7726,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,720,0.5000,3.03,14.70
7802,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,722,0.5000,3.05,14.70
7876,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,724,0.5000,3.05,14.80
7952,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,716,0.5000,3.05,14.80
8026,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,720,0.5000,3.05,14.70
8101,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,718,0.5000,3.05,14.70
8176,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,713,0.5000,3.03,14.70
8251,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,718,0.5000,3.03,14.70
8327,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,714,0.5000,3.05,14.70
8401,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,706,0.5000,3.05,14.60
8477,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,705,0.5000,3.05,14.70
8551,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,712,0.5000,3.07,14.70
8626,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,707,0.5000,3.05,14.70
8701,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,710,0.5000,3.03,14.80
8776,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,702,0.5000,3.03,14.70
8852,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,702,0.5000,3.03,14.70
8926,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,702,0.5000,3.03,14.80
9002,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,696,0.5000,3.03,14.90
9076,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,704,0.5000,3.03,14.80
9151,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,703,0.5000,3.03,14.80
9226,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,711,0.5000,3.03,14.80
9301,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,716,0.5000,3.03,14.70
9377,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,720,0.5000,3.03,14.70
9451,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,712,0.5000,3.03,14.70
9526,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,706,0.5000,3.03,14.70
9601,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,707,0.5000,3.03,14.70
9677,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,703,0.5000,3.03,14.70
9752,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,711,0.5000,3.03,14.70
9827,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,716,0.5000,3.03,14.70
9902,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,707,0.5000,3.03,14.80
9977,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,713,0.5000,3.03,14.70
10052,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,710,0.5000,3.03,14.70
10126,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,703,0.5000,3.03,14.80
10201,0.00,2.34,2.10,0.00,0.00,0.00,1,13.44,189,691,0.5000,3.03,14.80
10277,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,698,0.5000,3.03,14.90
10352,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,700,0.5000,3.03,14.90
10427,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,707,0.5000,3.03,14.80
10501,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,711,0.5000,3.03,14.70
10577,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,712,0.5000,3.03,14.90
10652,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,709,0.5000,3.03,14.90
10727,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,718,0.5000,3.03,14.70
10802,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,712,0.5000,3.03,14.80
10877,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,709,0.5000,3.03,14.80
10952,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,714,0.5000,3.03,14.80
11027,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,715,0.5000,3.03,14.80
11102,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,717,0.5000,3.03,14.80
11176,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,718,0.5000,3.03,14.80
11252,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,720,0.5000,3.03,14.80
11326,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,719,0.5000,3.03,14.70
11402,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,719,0.5000,3.05,14.80
11476,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,715,0.5000,3.03,15.00
11552,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,714,0.5000,3.03,15.00
11626,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,722,0.5000,3.03,14.80
11702,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,720,0.5000,3.03,14.80
11777,0.78,2.34,2.10,0.00,0.00,0.00,1,13.92,189,722,0.5000,3.03,15.00
11852,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,718,0.5000,3.03,15.00
11926,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,726,0.5000,3.05,14.80
12002,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,716,0.5000,3.03,14.80
12077,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,717,0.5000,3.05,14.70
12152,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,720,0.5000,3.03,14.70
12227,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,720,0.5000,3.03,14.70
12302,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,719,0.5000,3.03,14.80
12377,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,714,0.5000,3.03,14.80
12452,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,706,0.5000,3.03,14.80
12527,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,698,0.5000,3.03,14.70
12602,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,701,0.5000,3.03,14.80
12678,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,702,0.5000,3.03,14.70
12752,0.78,2.34,2.10,0.00,0.00,0.00,1,13.60,189,699,0.5000,3.03,14.70
12827,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,688,0.5000,3.03,14.70
12902,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,678,0.5000,3.03,14.70
12977,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,695,0.5000,3.03,14.80
13052,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,702,0.5000,3.03,14.80
13128,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,702,0.5000,3.03,14.80
13202,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,710,0.5000,3.03,14.70
13277,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,718,0.5000,3.03,14.70
13352,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,714,0.5000,3.03,14.70
13427,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,716,0.5000,3.03,14.70
13502,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,707,0.5000,3.03,14.70
13577,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,694,0.5000,3.03,14.80
13652,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,700,0.5000,3.03,14.80
13727,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,702,0.5000,3.03,14.80
13802,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,708,0.5000,3.03,14.80
13877,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,708,0.5000,3.03,14.90
13952,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,722,0.5000,3.03,14.90
14027,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,722,0.5000,3.03,14.80
14102,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,715,0.5000,3.03,14.90
14178,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,714,0.5000,3.03,14.80
14252,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,712,0.5000,3.03,14.80
14328,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,708,0.5000,3.03,14.80
14402,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,712,0.5000,3.03,14.80
14478,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,712,0.5000,3.03,14.80
14552,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,714,0.5000,3.03,14.80
14628,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,722,0.5000,3.03,14.80
14702,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,717,0.5000,3.03,14.70
14778,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,721,0.5000,3.03,14.70
14852,0.78,2.34,2.10,0.00,0.00,0.00,1,13.92,189,723,0.5000,3.03,14.70
14927,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,716,0.5000,3.03,14.70
15002,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,710,0.5000,3.03,14.70
15077,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,704,0.5000,3.03,14.80
15152,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,712,0.5000,3.03,14.80
15227,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,715,0.5000,3.03,14.80
15302,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,718,0.5000,3.03,14.70
15377,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,713,0.5000,3.03,14.80
15453,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,717,0.5000,3.03,14.80
15527,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,716,0.5000,3.03,14.70
15603,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,712,0.5000,3.03,14.70
15678,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,712,0.5000,3.03,14.70
15752,0.78,2.34,2.10,0.00,0.00,0.00,1,13.44,189,714,0.5000,3.03,14.70
15827,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,709,0.5000,3.03,14.70
15902,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,708,0.5000,3.03,14.80
15977,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,712,0.5000,3.05,14.80
16052,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,708,0.5000,3.03,14.80
16128,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,711,0.5000,3.03,14.70
16203,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,720,0.5000,3.03,14.80
16277,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,720,0.5000,3.03,14.80
16353,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,715,0.5000,3.03,14.80
16428,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,713,0.5000,3.03,14.80
16502,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,711,0.5000,3.03,14.80
16578,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,712,0.5000,3.03,14.80
16653,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,716,0.5000,3.03,14.80
16728,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,712,0.5000,3.03,14.80
16803,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,719,0.5000,3.03,14.90
16877,0.78,2.34,2.10,0.00,0.00,0.00,1,13.60,189,716,0.5000,3.03,14.70
16952,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,711,0.5000,3.03,14.70
17027,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,703,0.5000,3.03,14.80
17102,0.78,2.34,2.10,0.00,0.00,0.00,1,13.68,189,708,0.5000,3.03,14.90
17178,0.78,2.34,2.10,0.00,0.00,0.00,1,13.92,189,709,0.5000,3.03,14.80
17253,0.78,2.34,2.10,0.00,0.00,0.00,1,13.76,189,714,0.5000,3.03,14.80
17328,0.78,2.34,2.10,0.00,0.00,0.00,1,13.84,189,711,0.5000,3.03,14.80
17403,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,709,0.5000,3.03,14.80
17478,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,715,0.5000,3.03,14.80
17552,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,707,0.5000,3.03,14.80
17627,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,696,0.5000,3.03,14.70
17703,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,705,0.5000,3.03,14.70
17778,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,697,0.5000,3.03,14.80
17853,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,706,0.5000,3.03,14.80
17928,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,716,0.5000,3.03,14.70
18003,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,726,0.5000,3.03,14.70
18128,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,732,0.5000,3.00,14.70
18153,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,735,0.5000,3.00,14.70
18228,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,728,0.5000,3.03,14.70
18303,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,720,0.5000,3.03,14.60
18378,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,723,0.5000,3.03,14.80
18453,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,720,0.5000,3.03,14.80
18528,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,709,0.5000,3.03,14.70
18602,0.00,2.34,2.10,0.00,0.00,0.00,1,13.92,189,705,0.5000,3.03,14.80
18678,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,712,0.5000,3.03,14.70
18752,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,706,0.5000,3.03,14.70
18828,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,697,0.5000,3.03,14.70
18903,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,697,0.5000,3.03,14.70
18979,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,691,0.5000,3.03,14.70
19053,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,683,0.5000,3.03,14.70
19128,0.00,2.34,2.10,0.00,0.00,0.00,1,13.68,189,688,0.5000,3.03,14.70
19203,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,700,0.5000,3.03,14.70
19278,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,706,0.5000,3.00,14.70
19353,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,697,0.5000,3.00,14.70
19428,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,701,0.5000,3.00,14.70
19503,0.00,2.34,2.10,0.00,0.00,0.00,1,13.92,189,711,0.5000,3.00,14.70
19578,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,706,0.5000,3.00,14.80
19653,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,702,0.5000,3.00,14.80
19728,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,700,0.5000,3.03,14.70
19803,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,714,0.5000,3.03,14.70
19878,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,718,0.5000,3.03,14.70
19952,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,712,0.5000,3.03,14.70
20028,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,713,0.5000,3.03,14.80
20103,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,714,0.5000,3.03,14.80
20178,0.00,2.34,2.10,0.00,0.00,0.00,1,13.84,189,716,0.5000,3.00,14.80
20252,0.00,2.34,2.10,0.00,0.00,0.00,1,13.76,189,708,0.5000,3.03,14.80
