Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Atmospheric Pressure (psi),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Intake VVT Advance Angle Right (degrees),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Throttle Opening Angle (%),Air Conditioning Switch (On/Off),Idle Switch (On/Off),Rear O2 Sensor Rich Signal (On/Off),AEM UEGO Wideband [9600 baud] (AFR Gasoline)
1379,5.47,0.00,14.59,14.36,14.00,102,0.34,1490,17.50,3.53,95,0,0.00,7.84,-6.53,8.67,9.02,0,1,0,14.60
1449,5.47,0.00,14.59,14.36,13.92,102,0.35,1504,17.50,3.48,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.60
1517,5.47,0.00,14.59,14.36,14.08,102,0.35,1503,18.00,3.49,95,0,0.00,7.84,-6.53,8.67,8.63,0,1,0,14.60
1587,5.47,0.00,14.59,14.36,14.00,102,0.35,1488,18.00,3.51,95,0,0.00,7.84,-6.53,8.71,8.63,0,1,0,14.50
1704,5.47,0.00,14.70,14.36,14.00,102,0.35,1493,17.00,3.53,95,0,0.00,7.84,-6.53,8.71,8.63,0,1,0,14.60
1724,5.47,0.00,14.70,14.36,13.92,102,0.35,1499,17.00,3.49,95,0,0.00,7.98,-6.38,8.71,9.02,0,1,0,14.60
1794,5.47,0.00,14.70,14.36,14.00,102,0.35,1499,17.50,3.52,95,0,0.00,7.98,-6.38,8.75,9.02,0,1,0,14.60
1863,5.47,0.00,14.70,14.36,14.00,102,0.35,1489,17.00,3.53,95,0,0.00,7.98,-6.38,8.80,9.02,0,1,0,14.60
1932,6.25,0.00,14.70,14.36,13.92,102,0.36,1498,17.00,3.49,95,0,0.00,7.98,-6.38,8.71,9.02,0,1,0,14.70
2001,6.25,0.00,14.81,14.36,14.16,102,0.35,1499,17.00,3.49,95,0,0.00,7.98,-6.38,8.84,9.02,0,1,0,14.80
2069,6.25,0.00,14.81,14.36,13.92,102,0.35,1496,17.00,3.54,95,0,0.00,7.98,-6.38,8.75,9.02,0,1,0,14.80
2139,6.25,0.00,14.81,14.36,14.08,102,0.35,1506,17.00,3.54,95,0,0.00,7.98,-6.38,8.80,9.02,0,1,0,14.80
2207,6.25,0.00,14.70,14.36,14.00,102,0.35,1510,17.00,3.51,95,0,0.00,7.98,-6.38,8.80,9.02,0,1,0,14.80
2277,6.25,0.00,14.81,14.36,14.08,102,0.35,1502,17.00,3.52,95,0,0.00,7.98,-6.38,8.71,9.02,0,1,0,14.80
2345,7.03,0.00,14.81,14.36,14.00,102,0.35,1502,17.00,3.56,95,0,0.00,7.98,-6.38,8.84,9.02,0,1,0,14.80
2416,7.03,0.00,14.81,14.36,14.08,102,0.35,1502,16.50,3.52,95,0,0.00,7.98,-6.38,8.75,9.02,0,1,0,14.80
2484,7.03,0.00,14.81,14.36,14.00,102,0.35,1516,16.50,3.53,95,0,0.00,7.98,-6.38,8.84,9.02,0,1,0,14.80
2552,7.03,0.00,14.81,14.36,14.00,102,0.35,1521,17.00,3.57,95,0,0.00,7.98,-6.38,8.75,9.02,0,1,0,14.80
2622,7.03,0.00,14.81,14.36,13.84,102,0.35,1512,16.50,3.58,95,0,0.00,7.98,-6.38,8.80,9.02,0,1,0,14.80
2691,7.03,0.00,14.81,14.36,13.92,102,0.34,1520,16.50,3.57,95,0,0.00,7.98,-6.38,8.88,9.02,0,1,0,14.80
2760,7.03,0.00,14.81,14.36,14.00,102,0.34,1530,16.50,3.57,95,0,0.00,7.98,-6.38,8.80,9.02,0,1,0,14.80
2828,7.81,0.00,14.81,14.36,13.92,102,0.35,1525,17.00,3.58,95,0,0.00,7.98,-6.38,8.80,9.02,0,1,0,14.80
2897,7.81,0.00,14.70,14.36,14.08,102,0.34,1514,16.50,3.59,95,0,0.00,7.98,-6.38,8.80,9.02,0,1,0,14.70
2967,7.81,0.00,14.70,14.36,14.00,102,0.34,1523,16.50,3.57,95,0,0.00,7.98,-6.38,8.80,9.02,0,1,0,14.70
3036,7.81,0.00,14.70,14.36,14.00,102,0.35,1532,16.50,3.56,95,0,0.00,7.84,-6.53,8.80,9.02,0,1,0,14.80
3105,7.81,0.00,14.70,14.36,13.84,102,0.35,1529,17.00,3.59,95,0,0.00,7.84,-6.53,8.71,9.02,0,1,0,14.50
3174,7.81,0.00,14.70,14.36,14.08,102,0.35,1520,17.00,3.58,95,0,0.00,7.98,-6.38,8.80,9.02,0,1,0,14.50
3242,7.81,0.00,14.59,14.36,14.00,102,0.35,1510,17.00,3.54,95,0,0.00,7.98,-6.38,8.80,9.02,0,1,0,14.50
3312,7.81,0.00,14.59,14.36,14.00,102,0.35,1528,17.00,3.54,95,0,0.00,7.98,-6.38,8.71,9.02,0,1,0,14.50
3381,7.81,0.00,14.59,14.36,13.92,102,0.35,1518,17.00,3.56,95,0,0.00,7.98,-6.38,8.80,9.02,0,1,0,14.60
3449,7.03,0.00,14.59,14.36,14.00,102,0.35,1507,17.00,3.58,95,0,0.00,7.98,-6.38,8.80,9.02,0,1,0,14.60
3518,7.03,0.00,14.59,14.36,14.00,102,0.34,1516,16.50,3.56,95,0,0.00,7.98,-6.38,8.88,9.02,0,1,0,14.60
3588,7.03,0.00,14.59,14.36,14.00,102,0.35,1534,16.50,3.58,95,0,0.00,7.98,-6.38,8.80,9.02,0,1,0,14.60
3657,7.81,0.00,14.70,14.36,14.00,102,0.35,1526,17.00,3.58,95,0,0.00,7.98,-6.38,8.75,9.02,0,1,0,14.60
3726,7.81,0.00,14.70,14.36,13.92,102,0.34,1510,17.00,3.57,95,0,0.00,7.98,-6.38,8.75,9.02,0,1,0,14.60
3795,7.81,0.00,14.70,14.36,14.00,102,0.35,1524,16.50,3.58,95,0,0.00,7.98,-6.38,8.88,9.02,0,1,0,14.60
3864,7.81,0.00,14.70,14.36,13.92,102,0.35,1542,17.00,3.72,95,0,0.00,7.98,-6.38,8.88,9.02,0,1,0,14.60
3932,7.81,0.00,14.70,14.36,14.00,102,0.35,1531,17.00,3.59,95,0,0.00,7.98,-6.38,8.80,9.02,0,1,0,14.70
4002,7.81,0.00,14.70,14.36,13.92,102,0.35,1506,17.00,3.56,95,0,0.00,7.84,-6.53,8.80,9.02,0,1,0,14.70
4070,7.81,0.00,14.70,14.36,14.00,102,0.34,1516,17.00,3.56,95,0,0.00,7.98,-6.38,8.80,9.02,0,1,0,14.70
4140,7.81,0.00,14.70,14.36,13.92,102,0.35,1520,17.00,3.55,95,0,0.00,7.98,-6.38,8.80,9.02,0,1,0,14.70
4209,7.81,0.00,14.70,14.36,13.92,102,0.35,1518,17.00,3.56,95,0,0.00,7.98,-6.38,8.80,9.02,0,1,0,14.70
4278,7.81,0.00,14.70,14.36,14.00,102,0.34,1526,17.00,3.46,95,0,0.00,7.98,-6.38,8.71,9.02,0,1,0,14.70
4347,7.81,0.00,14.70,14.36,14.00,102,0.34,1534,16.50,3.60,95,0,0.00,7.98,-6.38,8.71,9.02,0,1,0,14.60
4415,7.81,0.00,14.70,14.36,13.92,102,0.35,1535,16.50,3.57,95,0,0.00,7.98,-6.38,8.75,9.02,0,1,0,14.50
4485,7.81,0.00,14.70,14.36,14.00,102,0.34,1540,16.50,3.61,95,0,0.00,7.84,-6.53,8.80,9.02,0,1,0,14.70
4553,7.81,0.00,14.70,14.36,14.08,102,0.34,1541,16.50,3.64,95,0,0.00,7.84,-6.53,8.84,9.02,0,1,0,14.70
4623,7.81,0.00,14.70,14.36,14.08,102,0.34,1533,16.50,3.48,95,0,0.00,7.84,-6.53,8.71,8.63,0,1,0,14.70
4692,7.81,0.00,14.70,14.36,14.08,102,0.34,1550,16.50,3.59,95,0,0.00,7.84,-6.53,8.75,8.63,0,1,0,14.80
4763,7.81,0.00,14.59,14.36,14.00,102,0.34,1545,17.00,3.61,95,0,0.00,7.84,-6.53,8.71,8.63,0,1,0,14.80
4830,7.81,0.00,14.59,14.36,13.92,104,0.34,1538,17.00,3.63,95,0,0.00,7.84,-6.53,8.67,8.63,0,1,0,14.70
4899,7.81,0.00,14.59,14.36,14.08,104,0.34,1536,17.50,3.60,95,0,0.00,7.84,-6.53,8.71,8.63,0,1,0,14.50
4968,7.81,0.00,14.70,14.36,14.00,104,0.34,1524,17.00,3.57,95,0,0.00,7.84,-6.53,8.71,8.63,0,1,0,14.50
5037,7.81,0.00,14.59,14.36,14.00,104,0.34,1530,17.00,3.57,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.60
5106,7.81,0.00,14.59,14.36,13.92,104,0.34,1516,17.00,3.61,95,0,0.00,7.84,-6.53,8.67,8.63,0,1,0,14.60
5175,7.81,0.00,14.59,14.36,14.00,104,0.34,1527,17.00,3.47,95,0,0.00,7.84,-6.53,8.71,8.63,0,1,0,14.60
5244,7.81,0.00,14.59,14.36,14.00,104,0.34,1529,17.00,3.55,95,0,0.00,7.84,-6.53,8.71,8.63,0,1,0,14.50
5313,7.81,0.00,14.59,14.36,14.00,104,0.34,1529,17.00,3.55,95,0,0.00,7.84,-6.53,8.71,8.63,0,1,0,14.50
5383,7.81,0.00,14.59,14.36,14.00,104,0.34,1524,17.00,3.61,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.50
5451,7.81,0.00,14.59,14.36,13.92,104,0.34,1526,17.00,3.60,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.50
5520,7.81,0.00,14.59,14.36,13.84,104,0.34,1538,16.50,3.58,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.50
5590,7.81,0.00,14.59,14.36,14.08,104,0.34,1540,17.00,3.73,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.50
5658,7.81,0.00,14.59,14.36,14.00,104,0.34,1542,17.00,3.62,95,0,0.00,7.84,-6.53,8.59,8.63,0,1,0,14.50
5727,7.81,0.00,14.59,14.36,14.08,104,0.34,1524,17.00,3.60,95,0,0.00,7.69,-6.67,8.63,8.63,0,1,0,14.50
5796,7.81,0.00,14.59,14.36,13.92,104,0.34,1506,17.00,3.53,95,0,0.00,7.69,-6.67,8.63,8.63,0,1,0,14.50
5865,7.81,0.00,14.59,14.36,14.00,104,0.34,1526,17.00,3.55,95,0,0.00,7.84,-6.53,8.71,8.63,0,1,0,14.50
5934,7.81,0.00,14.59,14.36,14.00,104,0.34,1517,18.00,3.56,95,0,0.00,7.84,-6.53,8.55,8.63,0,1,0,14.50
6003,7.81,0.00,14.59,14.36,14.00,104,0.34,1498,18.00,3.53,95,0,0.00,7.84,-6.53,8.67,8.63,0,1,0,14.50
6071,7.81,0.00,14.59,14.36,13.92,104,0.35,1509,17.00,3.52,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.50
6141,7.81,0.00,14.59,14.36,14.08,104,0.34,1508,17.00,3.52,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.50
6209,7.81,0.00,14.59,14.36,13.92,104,0.34,1503,17.00,3.56,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.50
6279,7.81,0.00,14.59,14.36,14.00,104,0.34,1496,17.00,3.55,95,0,0.00,7.84,-6.53,8.59,8.63,0,1,0,14.50
6348,7.81,0.00,14.59,14.36,14.00,104,0.34,1504,17.00,3.50,95,0,0.00,7.84,-6.53,8.55,8.63,0,1,0,14.50
6416,7.81,0.00,14.59,14.36,14.00,104,0.34,1513,17.50,3.50,95,0,0.00,7.84,-6.53,8.55,8.63,0,1,0,14.50
6486,7.81,0.00,14.59,14.36,14.00,104,0.35,1484,19.00,3.49,95,0,0.00,7.84,-6.53,8.55,8.63,0,1,0,14.60
6555,7.81,0.00,14.59,14.36,14.00,104,0.35,1477,17.00,3.47,95,0,0.00,7.84,-6.53,8.55,8.63,0,1,0,14.60
6623,7.81,0.00,14.70,14.36,14.00,104,0.34,1494,17.00,3.49,95,0,0.00,7.84,-6.53,8.51,8.63,0,1,0,14.50
6693,7.81,0.00,14.59,14.36,13.92,104,0.34,1490,17.00,3.53,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.60
6762,7.81,0.00,14.59,14.36,14.00,104,0.34,1482,17.00,3.51,95,0,0.00,7.84,-6.53,8.47,8.63,0,1,0,14.60
6830,7.81,0.00,14.59,14.36,13.92,104,0.35,1504,17.00,3.50,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.60
6900,7.03,0.00,14.59,14.36,14.08,104,0.35,1503,17.00,3.50,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.60
6969,7.03,0.00,14.59,14.36,14.00,104,0.34,1490,17.00,3.52,95,0,0.00,7.84,-6.53,8.51,8.63,0,1,0,14.60
7038,7.03,0.00,14.70,14.36,14.00,104,0.34,1498,17.00,3.52,95,0,0.00,7.98,-6.38,8.63,8.63,0,1,0,14.60
7107,7.81,0.00,14.70,14.36,14.00,104,0.35,1502,17.00,3.49,95,0,0.00,7.84,-6.53,8.59,8.63,0,1,0,14.60
7175,7.81,0.00,14.70,14.36,14.00,104,0.35,1505,17.00,3.53,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.60
7245,7.81,0.00,14.70,14.36,14.08,104,0.35,1502,17.00,3.55,95,0,0.00,7.84,-6.53,8.71,8.63,0,1,0,14.80
7314,7.81,0.00,14.70,14.36,14.00,104,0.35,1501,17.00,3.48,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.70
7382,7.81,0.00,14.70,14.36,14.08,104,0.35,1499,16.50,3.51,95,0,0.00,7.84,-6.53,8.71,8.63,0,1,0,14.70
7452,7.81,0.00,14.70,14.36,14.00,104,0.35,1496,17.00,3.53,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.80
7521,7.81,0.00,14.70,14.36,14.08,104,0.34,1496,17.00,3.54,95,0,0.00,7.84,-6.53,8.67,8.63,0,1,0,14.70
7589,7.81,0.00,14.59,14.36,14.00,104,0.35,1505,17.00,3.51,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.70
7659,7.81,0.00,14.59,14.36,14.08,104,0.34,1522,16.50,3.55,95,0,0.00,7.84,-6.53,8.67,8.63,0,1,0,14.70
7728,7.81,0.00,14.59,14.36,14.00,104,0.34,1505,16.50,3.57,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.60
7797,7.81,0.00,14.59,14.36,14.08,104,0.34,1504,16.50,3.58,95,0,0.00,7.84,-6.53,8.71,8.63,0,1,0,14.60
7866,7.81,0.00,14.59,14.36,14.00,104,0.35,1519,16.50,3.55,95,0,0.00,7.84,-6.53,8.63,9.02,0,1,0,14.60
7935,7.81,0.00,14.59,14.36,14.08,104,0.34,1517,17.00,3.56,95,0,0.00,7.84,-6.53,8.71,8.63,0,1,0,14.60
8003,7.81,0.00,14.59,14.36,13.92,104,0.34,1512,17.00,3.57,95,0,0.00,7.84,-6.53,8.71,8.63,0,1,0,14.50
8073,7.81,0.00,14.59,14.36,14.00,104,0.34,1510,16.50,3.54,95,0,0.00,7.84,-6.53,8.67,8.63,0,1,0,14.50
8142,7.81,0.00,14.59,14.36,14.00,104,0.35,1508,17.00,3.51,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.50
8210,7.81,0.00,14.59,14.36,13.92,104,0.34,1506,17.00,3.53,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.50
8279,7.03,0.00,14.59,14.36,14.08,104,0.35,1484,17.00,3.50,95,0,0.00,7.84,-6.53,8.71,8.63,0,1,0,14.50
8349,7.03,0.00,14.59,14.36,13.92,104,0.35,1500,17.00,3.49,95,0,0.00,7.84,-6.53,8.71,8.63,0,1,0,14.50
8417,7.03,0.00,14.59,14.36,14.08,104,0.34,1507,16.50,3.52,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.50
8487,7.03,0.00,14.59,14.36,13.92,104,0.34,1505,17.00,3.54,95,0,0.00,7.84,-6.53,8.55,8.63,0,1,0,14.50
8556,7.03,0.00,14.59,14.36,14.00,104,0.34,1492,17.00,3.54,95,0,0.00,7.84,-6.53,8.55,8.63,0,1,0,14.50
8625,7.03,0.00,14.59,14.36,14.00,104,0.35,1504,17.00,3.49,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.50
8694,7.03,0.00,14.59,14.36,14.08,104,0.34,1500,17.00,3.52,95,0,0.00,7.84,-6.53,8.67,8.63,0,1,0,14.60
8764,7.03,0.00,14.59,14.36,14.00,104,0.34,1491,17.00,3.52,95,0,0.00,7.84,-6.53,8.55,8.63,0,1,0,14.60
8832,7.03,0.00,14.70,14.36,14.08,104,0.35,1493,17.00,3.50,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.60
8901,7.03,0.00,14.59,14.36,14.08,104,0.35,1491,17.00,3.49,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.80
8970,7.03,0.00,14.59,14.36,13.92,104,0.34,1491,17.00,3.52,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.80
9039,7.03,0.00,14.59,14.36,14.08,104,0.34,1496,17.00,3.53,95,0,0.00,7.98,-6.38,8.63,8.63,0,1,0,14.70
9108,7.81,0.00,14.59,14.36,14.00,104,0.35,1512,16.50,3.53,95,0,0.00,7.98,-6.38,8.71,8.63,0,1,0,14.60
9177,7.03,0.00,14.59,14.36,14.08,104,0.35,1510,17.00,3.51,95,0,0.00,7.84,-6.53,8.67,8.63,0,1,0,14.60
9246,7.03,0.00,14.59,14.36,13.92,104,0.34,1493,17.00,3.53,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.60
9315,7.03,0.00,14.59,14.36,14.00,106,0.35,1491,17.00,3.50,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.60
9384,7.03,0.00,14.59,14.36,13.92,106,0.35,1495,17.00,3.48,95,0,0.00,7.84,-6.53,8.71,8.63,0,1,0,14.60
9453,7.03,0.00,14.59,14.36,13.92,106,0.35,1494,17.50,3.51,95,0,0.00,7.84,-6.53,8.59,8.63,0,1,0,14.50
9522,7.03,0.00,14.59,14.36,13.92,106,0.35,1476,17.00,3.49,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.50
9591,7.03,0.00,14.59,14.36,13.92,106,0.35,1487,17.50,3.46,95,0,0.00,7.98,-6.38,8.63,8.63,0,1,0,14.60
9660,7.03,0.00,14.59,14.36,14.00,106,0.36,1475,18.00,3.57,95,0,0.00,7.98,-6.38,8.63,8.63,0,1,0,14.60
9729,7.03,0.00,14.59,14.36,14.00,106,0.35,1452,17.50,3.31,95,0,0.00,7.98,-6.38,8.63,8.63,0,1,0,14.50
9798,7.03,0.00,14.59,14.36,14.00,106,0.35,1480,17.00,3.45,95,0,0.00,7.98,-6.38,8.59,8.63,0,1,0,14.60
9866,7.03,0.00,14.59,14.36,14.00,106,0.35,1480,17.00,3.46,95,0,0.00,7.98,-6.38,8.63,8.63,0,1,0,14.60
9936,7.03,0.00,14.59,14.36,14.00,106,0.35,1494,17.00,3.53,95,0,0.00,7.98,-6.38,8.59,8.63,0,1,0,14.60
10006,7.03,0.00,14.59,14.36,13.92,106,0.34,1499,16.00,3.55,95,0,0.00,7.98,-6.38,8.71,8.63,0,1,0,14.50
10075,7.03,0.00,14.59,14.36,14.08,106,0.34,1519,16.50,3.53,95,0,0.00,7.98,-6.38,8.63,8.63,0,1,0,14.50
10143,7.03,0.00,14.59,14.36,14.00,106,0.34,1509,16.50,3.54,95,0,0.00,7.98,-6.38,8.55,8.63,0,1,0,14.60
10212,7.03,0.00,14.59,14.36,14.00,106,0.34,1492,17.00,3.52,95,0,0.00,7.84,-6.53,8.67,8.63,0,1,0,14.60
10281,7.03,0.00,14.59,14.36,14.00,106,0.35,1486,17.00,3.49,95,0,0.00,7.84,-6.53,8.59,8.63,0,1,0,14.60
10350,7.03,0.00,14.59,14.36,14.00,106,0.35,1492,16.50,3.49,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.60
10419,7.03,0.00,14.59,14.36,13.92,106,0.34,1495,17.00,3.53,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.50
10488,7.03,0.00,14.59,14.36,14.00,106,0.34,1496,17.00,3.52,95,0,0.00,7.98,-6.38,8.63,8.63,0,1,0,14.50
10557,7.03,0.00,14.59,14.36,14.08,106,0.35,1495,17.00,3.47,95,0,0.00,7.98,-6.38,8.55,8.63,0,1,0,14.50
10626,7.03,0.00,14.59,14.36,14.08,106,0.35,1496,17.00,3.48,95,0,0.00,7.98,-6.38,8.63,8.63,0,1,0,14.50
10695,7.03,0.00,14.59,14.36,14.00,106,0.35,1476,17.00,3.50,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.60
10764,7.03,0.00,14.59,14.36,13.92,106,0.35,1490,16.50,3.50,95,0,0.00,7.98,-6.38,8.59,8.63,0,1,0,14.60
10833,7.03,0.00,14.59,14.36,14.00,106,0.34,1508,16.50,3.52,95,0,0.00,7.84,-6.53,8.67,8.63,0,1,0,14.60
10902,7.03,0.00,14.70,14.36,13.92,106,0.35,1494,17.00,3.52,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.70
10971,7.03,0.00,14.70,14.36,14.08,106,0.34,1496,17.00,3.53,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.70
11040,7.03,0.00,14.70,14.36,13.92,106,0.35,1494,17.00,3.48,95,0,0.00,7.84,-6.53,8.59,8.63,0,1,0,14.70
11109,7.03,0.00,14.70,14.36,14.00,106,0.35,1508,17.00,3.51,95,0,0.00,7.84,-6.53,8.55,8.63,0,1,0,14.70
11178,7.03,0.00,14.59,14.36,13.84,106,0.34,1493,17.00,3.53,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.70
11247,7.03,0.00,14.59,14.36,14.08,106,0.34,1496,16.50,3.54,95,0,0.00,7.84,-6.53,8.59,8.63,0,1,0,14.70
11316,7.03,0.00,14.59,14.36,14.00,106,0.34,1512,16.50,3.52,95,0,0.00,7.84,-6.53,8.55,8.63,0,1,0,14.60
11386,7.03,0.00,14.59,14.36,14.00,106,0.34,1510,17.00,3.54,95,0,0.00,7.84,-6.53,8.59,8.63,0,1,0,14.60
11454,7.03,0.00,14.59,14.36,14.00,106,0.34,1503,17.00,3.55,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.60
11524,7.03,0.00,14.59,14.36,14.08,106,0.35,1498,16.50,3.52,95,0,0.00,7.84,-6.53,8.59,8.63,0,1,0,14.60
11592,7.03,0.00,14.59,14.36,14.08,106,0.34,1511,16.50,3.52,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.60
11661,7.03,0.00,14.59,14.36,13.92,106,0.34,1498,17.00,3.55,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.60
11730,7.03,0.00,14.59,14.36,14.00,106,0.34,1502,17.00,3.55,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.50
11802,7.03,0.00,14.59,14.36,13.92,106,0.35,1509,16.50,3.51,95,0,0.00,7.84,-6.53,8.63,8.63,0,1,0,14.50
11868,7.03,0.00,14.59,14.36,14.00,106,0.35,1510,17.00,3.50,95,0,0.00,7.84,-6.53,8.59,8.63,0,1,0,14.50
11937,7.03,0.00,14.59,14.36,14.00,106,0.34,1488,17.00,3.52,95,0,0.00,7.84,-6.53,8.55,8.63,0,1,0,14.50
12007,7.03,0.00,14.59,14.36,14.00,106,0.34,1496,16.50,3.54,95,0,0.00,7.84,-6.53,8.55,8.63,0,1,0,14.50
12076,7.03,0.00,14.59,14.36,13.92,106,0.34,1504,17.00,3.51,95,0,0.00,7.84,-6.53,8.59,8.63,0,1,0,14.50
12144,7.03,0.00,14.59,14.36,14.00,106,0.34,1494,17.00,3.51,95,0,0.00,7.84,-6.53,8.55,8.63,0,1,0,14.50
12214,7.03,0.00,14.59,14.36,13.92,106,0.34,1492,17.00,3.54,95,0,0.00,7.84,-6.53,8.47,8.63,0,1,0,14.50
